,mae,mape,rmse,B
0,0.7164154405369106,27.15358123529693,1.1753297441144688,1.0
1,0.18380647521661597,49.14325384493838,0.3471327556744636,2.0
2,0.38540279732618044,38.365430761411375,0.6237748301284093,3.0
3,0.4721424513385402,27.849421628180735,0.6974335535127182,4.0
4,0.5052697731869484,70.48794361848218,0.8482833641586904,5.0
5,0.16471917647142867,47.03802014672592,0.2729325414637796,6.0
6,0.3737430514523115,39.401120312658335,0.6190540460288557,7.0
7,0.33212954813245515,47.89111014263235,0.5838529277149033,8.0
8,0.4595856550377085,37.95339994929402,0.7337565361803307,9.0
9,0.32009230829367913,52.30410631408871,0.5537959294925054,10.0
10,0.21800806833878628,59.594364505970546,0.346033504794212,11.0
11,0.19922637053117845,33.15535284248695,0.3171574231479889,12.0
12,0.47349434227378245,34.72270187135405,0.7875103896415765,13.0
13,0.6991887841239325,27.691636805835028,1.049873035987068,14.0
14,0.770063035075291,104.78118376375787,1.2885679814245088,15.0
15,0.2986448147089983,66.63980684710732,0.45283103568542915,16.0
16,0.2482296213695424,133.03871879280493,0.3394753285111657,17.0
17,1.023831528659057,59.390240259929975,1.870315237146988,18.0
18,0.3818568818817728,17.465633372348343,0.5536722661554709,19.0
19,0.3273897173389578,28.259118254770733,0.531638312964229,20.0
20,0.09072692983372885,38.79736081397276,0.17175206373889904,21.0
21,0.3880901564931337,105.16996230005024,0.7123734097549785,22.0
22,0.39703603441168767,97.47792624886468,0.5712115045267392,23.0
23,0.2541315562458532,70.9869505274385,0.4887849154371597,24.0
24,0.4553913438631663,45.51605560208333,0.6897832084713085,25.0
25,0.0011974770525280962,1.3768575264377116,0.002628833698097737,26.0
26,0.6759151512717675,164.1109260384691,1.0122369654998522,27.0
27,,,,
