,mae,mape,rmse,B
0,0.7104691575273979,26.57817985322457,1.1708640391534262,1.0
1,0.19702885960273162,54.47119185075901,0.3527376017775639,2.0
2,0.40432524387537244,39.89108591833826,0.6471448520722324,3.0
3,0.48131400573696054,28.245222679249558,0.7076588732820627,4.0
4,0.5097281284157006,70.47039028821533,0.855762176742479,5.0
5,0.16660905653043342,48.09864023033414,0.2724958880045121,6.0
6,0.3846619411272004,41.27088382299187,0.623475569884078,7.0
7,0.32946072813108906,48.362501893200445,0.5773855531321106,8.0
8,0.4684914592754964,39.64294159216388,0.733741445406126,9.0
9,0.32616316217324615,54.19593553608875,0.560207459510278,10.0
10,0.2217966754694564,62.35445697284631,0.34320910402643157,11.0
11,0.20309004135399447,34.70485835746018,0.3176695447505487,12.0
12,0.4713752391364702,34.225930196846086,0.7869420778842636,13.0
13,0.694675165450204,27.484169757472394,1.0454781050430537,14.0
14,0.8055040456157425,106.4316626940004,1.3280909002251633,15.0
15,0.2967825438220272,65.7726944986258,0.452271632185761,16.0
16,0.25002891885622214,129.34214728260454,0.34418631034747155,17.0
17,1.0213463522959203,60.860991777386786,1.8420807362328988,18.0
18,0.3773069456176322,17.623074740915648,0.5480077083181016,19.0
19,0.3191826340292991,27.54748022327349,0.516882457266081,20.0
20,0.0907469830248235,38.70970473877133,0.16917712738262633,21.0
21,0.4028154840447451,110.98218245326667,0.7239177158158682,22.0
22,0.39756897501924554,97.59285220921987,0.5673334369056158,23.0
23,0.26072765190348907,73.82489769165161,0.48556463571262654,24.0
24,0.46751160307984174,47.00808096635369,0.6952666495206049,25.0
25,0.0008469240973524952,1.0016592093380101,0.0017714449149346676,26.0
26,0.6631403289853744,150.97376916192613,0.9953987234626215,27.0
27,,,,
