,mae,mape,rmse,B
0,0.7505792520689656,29.168464321289715,1.1970553616312527,B1
1,0.19235505695897523,53.10737048402293,0.34672160736054913,B2
2,0.4396491711434633,47.62625711974018,0.6610741978284408,B3
3,0.48349628264337674,30.32626524685397,0.6916986028740043,B4
4,0.5296379864195265,81.63133170976677,0.8406848586954403,B5
5,0.17453858662728952,56.54422493120323,0.2797805531207713,B6
6,0.3900883496490084,43.16634146135272,0.6211085770070576,B7
7,0.3496755108827708,52.56347615013437,0.5825719574929437,B8
8,0.5268874376023891,46.4034460153513,0.7963233586437191,B9
9,0.3298691098869601,57.13393100942651,0.5554561938167625,B10
10,0.22926460369237672,65.91580619482656,0.34584172648252354,B11
11,0.22891355425287888,37.47140355529764,0.3432223881138567,B12
12,0.4977774370270982,39.661155693496106,0.7832150930033063,B13
13,0.7196388135371532,30.474381078582336,1.0396876212197126,B14
14,0.8818891909323523,129.00017657812532,1.4487115799844879,B15
15,0.28743474562114524,66.92921037752735,0.42239312051294176,B16
16,0.43008445151753677,192.54375356785758,0.5770975801854893,B17
17,1.0748119815105108,67.03037526372451,1.823866614970973,B18
18,0.38090057005056377,17.32193273465568,0.5563848085775387,B19
19,0.3274152282277535,28.53515611579146,0.5235039037500174,B20
20,0.11000429093405809,66.99600179155124,0.24106880016002505,B21
21,0.4260048580616983,128.4706158003327,0.7220092268305351,B22
22,0.4212380512429696,120.18068356624778,0.5814243179772585,B23
23,0.25958719703380395,74.07386970541359,0.4879780316515214,B24
24,0.4682267497853727,51.868310010103315,0.6751747896651997,B25
25,0.10245124365089052,33.61325446561437,0.20381645378691723,B26
26,0.7123869639719855,184.33812951596417,1.0134352316476285,B27
27,0.840151925638978,46.53820309955633,1.1427388862560142,B28
