,mae,mape,rmse,B
3,0.16956337477581063,30.748954525929285,0.2740537780578221,MAC003341
4,0.09951220175822292,103.56339824209655,0.15377671972197618,MAC001688
5,0.27362852321622855,254.08643998716127,0.42133919690275784,MAC002714
6,0.11406726491372528,67.29782817695805,0.18623299329896112,MAC003248
7,0.3011869302249866,44.78751404085877,0.46635379540564637,MAC002235
8,0.18206415161727418,24.924882797934284,0.2828397173302854,MAC004754
9,0.45245174855009374,82.86027666419469,0.6885260350552651,MAC003186
10,0.09829601998795522,654.4906960396057,0.17182186624694387,MAC003154
11,0.2879601101983325,96.56579643145184,0.43834982581920506,MAC002004
12,0.2844481408978485,194.83112128821242,0.43378507684678475,MAC000446
13,0.4516586204397912,91.94155418527596,0.6350984015868716,MAC003133
14,0.2957447335108915,306.12856967035725,0.4178561384714442,MAC003210
15,0.3487048073223096,84.19019966405418,0.6038528970983311,MAC003274
16,0.15526285685305505,95.64535415776288,0.2840721576340672,MAC003042
17,0.1741377069835986,131.35946289386754,0.2836054982680924,MAC001680
18,0.23018573504438733,127.08601955932528,0.39781341052151126,MAC004338
19,0.5696286255289902,89.64174130595785,0.9048258320781452,MAC003247
20,0.21321410326118276,182.95072154938066,0.417014284162891,MAC002419
21,0.20555091387810978,43.80005375237743,0.313678540622499,MAC000236
22,0.333721052793661,59.414930063723894,0.5163785541580093,MAC004422
23,0.19397981883392754,60.39089639106581,0.3052749633480528,MAC002325
24,0.12941516074617415,172.80924435745132,0.23768777985175857,MAC000714
25,0.22300637566376416,142.65710045236952,0.3427073359508914,MAC003282
26,0.051090714898181774,23.034310709672972,0.08656093897220642,MAC002488
27,0.07272492274578124,42.146552211707274,0.10102919287395015,MAC001796
28,0.21135053778457644,80.91726748757185,0.32537394815746545,MAC000483
29,0.17881870679521503,69.2006682940824,0.30490135810326846,MAC001435
30,0.1666853778921586,134.29089768005883,0.2490511422652146,MAC003109
31,0.10579547275682323,40.89613110993325,0.1499431458810479,MAC003688
32,0.2611314409572559,64.69586508193004,0.38348730692837896,MAC004125
33,0.12078313893967889,60.75719857369201,0.18127259946069044,MAC003311
34,0.19432062196737399,117.1373503487118,0.32016223379612296,MAC000658
35,0.11921089402855468,35.73019310366109,0.18264745540320046,MAC000532
36,0.30480347553124487,66.68416775484549,0.4659750485352345,MAC000081
37,0.18895779660290574,250.33589030329026,0.27730285095676355,MAC001927
38,0.23397470798850617,48.67485762088671,0.3825475592088692,MAC000802
39,0.4264241556266565,227.77958194573986,0.6825196998085948,MAC005484
40,0.09468269528227219,54.104417511432914,0.16272095175365514,MAC001639
41,0.11087263443219049,686.9425736477606,0.1535422057343534,MAC004243
42,0.16297147987468344,40.63918729497368,0.2394228521636356,MAC002103
43,0.3528893908018666,181.79340314359354,0.5291500775961488,MAC002105
