,mae,mape,rmse,B
0,0.3473202495950533,29.286788414733056,0.5469351682422655,B1
1,0.1605583624586008,49.8487474022194,0.29604807574710923,B2
2,0.3578122624231907,45.76338216186265,0.5340908339464787,B3
3,0.39536382023207295,31.934406428707796,0.5565149465820514,B4
4,0.4262281101234938,80.30145102779767,0.6825987804380892,B5
5,0.1455336385999788,55.273558389262526,0.23306048728281567,B6
6,0.2755168338651341,45.47949480499516,0.42805471306477394,B7
7,0.365718335891835,68.68238989303805,0.5647505654821335,B8
8,0.3381495857466097,54.905213972856046,0.47856013294443234,B9
9,0.306344323255952,56.80271277874176,0.5074315956223889,B10
10,0.2582342614701277,54.223491283548285,0.40580936581156113,B11
11,0.18745012706194195,38.08892907512596,0.27924008745989476,B12
12,0.40826456045361637,37.52994479936189,0.6500620269357101,B13
13,0.4740716362097278,28.031763783741265,0.7012499844218885,B14
14,0.9162195395341178,141.7450611026688,1.4701219656695252,B15
15,0.3809015360578101,80.6594628451043,0.5668609834638734,B16
16,0.3135483302597558,166.08299144866788,0.4300585362494395,B17
17,1.0918898205582326,66.9475494924283,1.829967712111274,B18
18,0.3526343506035951,17.844527681423347,0.5035357761101161,B19
19,0.35123096766961,29.089456471655673,0.5539757885091816,B20
20,0.12570514017188067,92.75424177234694,0.23665909837252624,B21
21,0.310242096172063,135.70435891371196,0.5078736721658795,B22
22,0.46899362132273414,121.71818930469378,0.6453150322733247,B23
23,0.2488977263613561,70.33189353299468,0.4752357277728786,B24
24,0.41681193603497907,51.11551156499432,0.6040830153237565,B25
25,0.08076197494311191,25.82752211381586,0.19032440415907426,B26
26,0.767498759845851,166.84728194381978,1.1126644227948936,B27
27,0.7225242822685728,50.01815368688983,0.9448594207828321,B28
