Date,"Forecasted consumption kW"
2019-07-15 00:00:00,6.496557145962092
2019-07-15 00:15:00,6.2513343391167595
2019-07-15 00:30:00,6.193893159203887
2019-07-15 00:45:00,5.804827834116608
2019-07-15 01:00:00,5.965042155707174
2019-07-15 01:15:00,6.355060578254655
2019-07-15 01:30:00,5.942550410004647
2019-07-15 01:45:00,6.016008687387796
2019-07-15 02:00:00,5.9170863329237715
2019-07-15 02:15:00,5.973183188392055
2019-07-15 02:30:00,5.9045837676062956
2019-07-15 02:45:00,5.699503628276248
2019-07-15 03:00:00,5.642253668662
2019-07-15 03:15:00,5.834320334282619
2019-07-15 03:30:00,6.071743197375754
2019-07-15 03:45:00,6.112179924511696
2019-07-15 04:00:00,6.158484168568843
2019-07-15 04:15:00,6.263815471573063
2019-07-15 04:30:00,5.894593205358949
2019-07-15 04:45:00,6.297808268156448
2019-07-15 05:00:00,6.125322471335343
2019-07-15 05:15:00,6.220553468212497
2019-07-15 05:30:00,6.37498694313662
2019-07-15 05:45:00,6.8797560819934365
2019-07-15 06:00:00,6.577043795578485
2019-07-15 06:15:00,7.03486102688334
2019-07-15 06:30:00,7.1984978249054965
2019-07-15 06:45:00,7.802458032607831
2019-07-15 07:00:00,7.653738602081012
2019-07-15 07:15:00,8.105311333979108
2019-07-15 07:30:00,7.934372577958338
2019-07-15 07:45:00,8.972507701988153
2019-07-15 08:00:00,9.367280656515016
2019-07-15 08:15:00,9.865080771688984
2019-07-15 08:30:00,10.64570220957766
2019-07-15 08:45:00,11.312505388878067
2019-07-15 09:00:00,10.925761455681425
2019-07-15 09:15:00,11.512141912393895
2019-07-15 09:30:00,12.651905831966031
2019-07-15 09:45:00,12.969581524114432
2019-07-15 10:00:00,13.783443674543156
2019-07-15 10:15:00,13.974122171069448
2019-07-15 10:30:00,13.906693612477135
2019-07-15 10:45:00,14.63516741922982
2019-07-15 11:00:00,14.860584633602667
2019-07-15 11:15:00,15.060391004201321
2019-07-15 11:30:00,15.556940084315581
2019-07-15 11:45:00,15.0976143905012
2019-07-15 12:00:00,15.519621964939677
2019-07-15 12:15:00,16.85192898019205
2019-07-15 12:30:00,16.187053122262938
2019-07-15 12:45:00,16.83775531055
2019-07-15 13:00:00,17.24382479207015
2019-07-15 13:15:00,16.667737481994806
2019-07-15 13:30:00,17.747271761445738
2019-07-15 13:45:00,17.800182112097144
2019-07-15 14:00:00,17.968093134129504
2019-07-15 14:15:00,17.12705180292207
2019-07-15 14:30:00,17.217612049713992
2019-07-15 14:45:00,17.3482086224708
2019-07-15 15:00:00,16.406347295555292
2019-07-15 15:15:00,17.151623037544223
2019-07-15 15:30:00,16.43853587224029
2019-07-15 15:45:00,16.417414337823317
2019-07-15 16:00:00,15.728932253447535
2019-07-15 16:15:00,16.659330476439955
2019-07-15 16:30:00,15.864504340448878
2019-07-15 16:45:00,15.847365892269071
2019-07-15 17:00:00,14.989071086029721
2019-07-15 17:15:00,15.338844975118148
2019-07-15 17:30:00,14.335021677755373
2019-07-15 17:45:00,14.31314185714954
2019-07-15 18:00:00,14.681029447702091
2019-07-15 18:15:00,13.679659386690332
2019-07-15 18:30:00,13.98438114390023
2019-07-15 18:45:00,13.322934485311624
2019-07-15 19:00:00,12.971591475951195
2019-07-15 19:15:00,12.190328306533228
2019-07-15 19:30:00,12.263282583383335
2019-07-15 19:45:00,11.345973950522424
2019-07-15 20:00:00,11.501179685661727
2019-07-15 20:15:00,11.118853314219795
2019-07-15 20:30:00,10.217247204061353
2019-07-15 20:45:00,9.724984040473649
2019-07-15 21:00:00,10.306477140838552
2019-07-15 21:15:00,9.44980769811563
2019-07-15 21:30:00,9.14240682813842
2019-07-15 21:45:00,8.92241697001794
2019-07-15 22:00:00,8.195603329120054
2019-07-15 22:15:00,8.589482239512124
2019-07-15 22:30:00,7.715853423550125
2019-07-15 22:45:00,8.190714365125487
2019-07-15 23:00:00,7.162632470253074
2019-07-15 23:15:00,7.081068033576903
2019-07-15 23:30:00,7.559878989795335
2019-07-15 23:45:00,6.825553770992728
2019-07-16 00:00:00,6.251059956834193
2019-07-16 00:15:00,6.211789311896145
2019-07-16 00:30:00,5.7949194984501915
2019-07-16 00:45:00,5.692923766580404
2019-07-16 01:00:00,5.812123198903075
2019-07-16 01:15:00,6.058839312807442
2019-07-16 01:30:00,5.416836426359403
2019-07-16 01:45:00,5.703574311085256
2019-07-16 02:00:00,5.833371537406029
2019-07-16 02:15:00,6.083639891125344
2019-07-16 02:30:00,6.18089555161873
2019-07-16 02:45:00,5.642795099850455
2019-07-16 03:00:00,5.998076789029969
2019-07-16 03:15:00,5.87232495605401
2019-07-16 03:30:00,6.190596271913905
2019-07-16 03:45:00,6.222466359527425
2019-07-16 04:00:00,6.3328101120209
2019-07-16 04:15:00,6.711405149489808
2019-07-16 04:30:00,6.6850924178323545
2019-07-16 04:45:00,7.052014151220686
2019-07-16 05:00:00,7.0715140853887934
2019-07-16 05:15:00,7.405326662411609
2019-07-16 05:30:00,7.815986220451948
2019-07-16 05:45:00,8.454860908088037
2019-07-16 06:00:00,8.850573696758655
2019-07-16 06:15:00,9.37669784945449
2019-07-16 06:30:00,10.50436705973064
2019-07-16 06:45:00,10.332350328551902
2019-07-16 07:00:00,10.230880479611182
2019-07-16 07:15:00,11.93888587441653
2019-07-16 07:30:00,12.082559446986423
2019-07-16 07:45:00,13.579339652165203
2019-07-16 08:00:00,13.912609116614075
2019-07-16 08:15:00,14.561178413199393
2019-07-16 08:30:00,15.533483850639097
2019-07-16 08:45:00,15.78807916359275
