Datetime,Datetime,Valeur,working day
2019-12-11 21:30:00,2019-12-11 21:30:00,7.77,True
2019-12-11 21:45:00,2019-12-11 21:45:00,7.56,True
2019-12-11 22:00:00,2019-12-11 22:00:00,6.72,True
2019-12-11 22:15:00,2019-12-11 22:15:00,6.72,True
2019-12-11 22:30:00,2019-12-11 22:30:00,6.72,True
2019-12-11 22:45:00,2019-12-11 22:45:00,6.51,True
2019-12-11 23:00:00,2019-12-11 23:00:00,5.88,True
2019-12-11 23:15:00,2019-12-11 23:15:00,5.88,True
2019-12-11 23:30:00,2019-12-11 23:30:00,5.88,True
2019-12-11 23:45:00,2019-12-11 23:45:00,5.67,True
2019-12-12 00:00:00,2019-12-12 00:00:00,4.83,True
2019-12-12 00:15:00,2019-12-12 00:15:00,4.83,True
2019-12-12 00:30:00,2019-12-12 00:30:00,4.62,True
2019-12-12 00:45:00,2019-12-12 00:45:00,4.83,True
2019-12-12 01:00:00,2019-12-12 01:00:00,4.83,True
2019-12-12 01:15:00,2019-12-12 01:15:00,5.04,True
2019-12-12 01:30:00,2019-12-12 01:30:00,4.83,True
2019-12-12 01:45:00,2019-12-12 01:45:00,5.04,True
2019-12-12 02:00:00,2019-12-12 02:00:00,4.83,True
2019-12-12 02:15:00,2019-12-12 02:15:00,4.83,True
2019-12-12 02:30:00,2019-12-12 02:30:00,4.83,True
2019-12-12 02:45:00,2019-12-12 02:45:00,4.83,True
2019-12-12 03:00:00,2019-12-12 03:00:00,4.83,True
2019-12-12 03:15:00,2019-12-12 03:15:00,4.83,True
2019-12-12 03:30:00,2019-12-12 03:30:00,4.83,True
2019-12-12 03:45:00,2019-12-12 03:45:00,4.62,True
2019-12-12 04:00:00,2019-12-12 04:00:00,5.25,True
2019-12-12 04:15:00,2019-12-12 04:15:00,4.62,True
2019-12-12 04:30:00,2019-12-12 04:30:00,4.62,True
2019-12-12 04:45:00,2019-12-12 04:45:00,4.83,True
2019-12-12 05:00:00,2019-12-12 05:00:00,4.83,True
2019-12-12 05:15:00,2019-12-12 05:15:00,4.83,True
2019-12-12 05:30:00,2019-12-12 05:30:00,4.62,True
2019-12-12 05:45:00,2019-12-12 05:45:00,4.62,True
2019-12-12 06:00:00,2019-12-12 06:00:00,4.83,True
2019-12-12 06:15:00,2019-12-12 06:15:00,10.08,True
2019-12-12 06:30:00,2019-12-12 06:30:00,12.39,True
2019-12-12 06:45:00,2019-12-12 06:45:00,11.13,True
2019-12-12 07:00:00,2019-12-12 07:00:00,10.29,True
2019-12-12 07:15:00,2019-12-12 07:15:00,10.5,True
2019-12-12 07:30:00,2019-12-12 07:30:00,10.08,True
2019-12-12 07:45:00,2019-12-12 07:45:00,10.71,True
2019-12-12 08:00:00,2019-12-12 08:00:00,17.43,True
2019-12-12 08:15:00,2019-12-12 08:15:00,13.02,True
2019-12-12 08:30:00,2019-12-12 08:30:00,13.86,True
2019-12-12 08:45:00,2019-12-12 08:45:00,13.86,True
2019-12-12 09:00:00,2019-12-12 09:00:00,13.44,True
2019-12-12 09:15:00,2019-12-12 09:15:00,18.48,True
2019-12-12 09:30:00,2019-12-12 09:30:00,18.48,True
2019-12-12 09:45:00,2019-12-12 09:45:00,18.06,True
2019-12-12 10:00:00,2019-12-12 10:00:00,15.96,True
2019-12-12 10:15:00,2019-12-12 10:15:00,15.96,True
2019-12-12 10:30:00,2019-12-12 10:30:00,16.38,True
2019-12-12 10:45:00,2019-12-12 10:45:00,20.16,True
2019-12-12 11:00:00,2019-12-12 11:00:00,15.54,True
2019-12-12 11:15:00,2019-12-12 11:15:00,15.33,True
2019-12-12 11:30:00,2019-12-12 11:30:00,14.49,True
2019-12-12 11:45:00,2019-12-12 11:45:00,15.12,True
2019-12-12 12:00:00,2019-12-12 12:00:00,15.54,True
2019-12-12 12:15:00,2019-12-12 12:15:00,19.53,True
2019-12-12 12:30:00,2019-12-12 12:30:00,15.12,True
