Date,Valeur,Datetime,working day
2020-09-04 21:45:00,3.85,2020-09-04 21:45:00,True
2020-09-04 22:00:00,3.85,2020-09-04 22:00:00,True
2020-09-04 22:15:00,4.2,2020-09-04 22:15:00,True
2020-09-04 22:30:00,3.85,2020-09-04 22:30:00,True
2020-09-04 22:45:00,3.5,2020-09-04 22:45:00,True
2020-09-04 23:00:00,3.5,2020-09-04 23:00:00,True
2020-09-04 23:15:00,3.85,2020-09-04 23:15:00,True
2020-09-04 23:30:00,3.5,2020-09-04 23:30:00,True
2020-09-04 23:45:00,3.5,2020-09-04 23:45:00,True
2020-09-05 00:00:00,3.85,2020-09-05 00:00:00,False
2020-09-05 00:15:00,3.5,2020-09-05 00:15:00,False
2020-09-05 00:30:00,3.5,2020-09-05 00:30:00,False
2020-09-05 00:45:00,3.5,2020-09-05 00:45:00,False
2020-09-05 01:00:00,3.5,2020-09-05 01:00:00,False
2020-09-05 01:15:00,3.5,2020-09-05 01:15:00,False
2020-09-05 01:30:00,3.5,2020-09-05 01:30:00,False
2020-09-05 01:45:00,3.5,2020-09-05 01:45:00,False
2020-09-05 02:00:00,3.5,2020-09-05 02:00:00,False
2020-09-05 02:15:00,3.5,2020-09-05 02:15:00,False
2020-09-05 02:30:00,3.5,2020-09-05 02:30:00,False
2020-09-05 02:45:00,3.5,2020-09-05 02:45:00,False
2020-09-05 03:00:00,4.55,2020-09-05 03:00:00,False
2020-09-05 03:15:00,3.5,2020-09-05 03:15:00,False
2020-09-05 03:30:00,3.85,2020-09-05 03:30:00,False
2020-09-05 03:45:00,4.2,2020-09-05 03:45:00,False
2020-09-05 04:00:00,3.5,2020-09-05 04:00:00,False
2020-09-05 04:15:00,3.85,2020-09-05 04:15:00,False
2020-09-05 04:30:00,3.85,2020-09-05 04:30:00,False
2020-09-05 04:45:00,3.5,2020-09-05 04:45:00,False
2020-09-05 05:00:00,4.2,2020-09-05 05:00:00,False
2020-09-05 05:15:00,3.85,2020-09-05 05:15:00,False
2020-09-05 05:30:00,3.85,2020-09-05 05:30:00,False
2020-09-05 05:45:00,4.2,2020-09-05 05:45:00,False
2020-09-05 06:00:00,3.5,2020-09-05 06:00:00,False
2020-09-05 06:15:00,3.5,2020-09-05 06:15:00,False
2020-09-05 06:30:00,4.2,2020-09-05 06:30:00,False
2020-09-05 06:45:00,3.5,2020-09-05 06:45:00,False
2020-09-05 07:00:00,3.5,2020-09-05 07:00:00,False
2020-09-05 07:15:00,4.2,2020-09-05 07:15:00,False
2020-09-05 07:30:00,4.2,2020-09-05 07:30:00,False
2020-09-05 07:45:00,4.55,2020-09-05 07:45:00,False
2020-09-05 08:00:00,3.5,2020-09-05 08:00:00,False
2020-09-05 08:15:00,3.5,2020-09-05 08:15:00,False
2020-09-05 08:30:00,3.85,2020-09-05 08:30:00,False
2020-09-05 08:45:00,3.85,2020-09-05 08:45:00,False
2020-09-05 09:00:00,3.15,2020-09-05 09:00:00,False
2020-09-05 09:15:00,3.5,2020-09-05 09:15:00,False
2020-09-05 09:30:00,3.5,2020-09-05 09:30:00,False
2020-09-05 09:45:00,3.15,2020-09-05 09:45:00,False
2020-09-05 10:00:00,3.15,2020-09-05 10:00:00,False
2020-09-05 10:15:00,2.8,2020-09-05 10:15:00,False
2020-09-05 10:30:00,2.8,2020-09-05 10:30:00,False
2020-09-05 10:45:00,2.8,2020-09-05 10:45:00,False
2020-09-05 11:00:00,2.45,2020-09-05 11:00:00,False
2020-09-05 11:15:00,2.45,2020-09-05 11:15:00,False
2020-09-05 11:30:00,2.8,2020-09-05 11:30:00,False
2020-09-05 11:45:00,2.1,2020-09-05 11:45:00,False
2020-09-05 12:00:00,2.45,2020-09-05 12:00:00,False
2020-09-05 12:15:00,2.45,2020-09-05 12:15:00,False
2020-09-05 12:30:00,2.1,2020-09-05 12:30:00,False
2020-09-05 12:45:00,2.45,2020-09-05 12:45:00,False
2020-09-05 13:00:00,2.45,2020-09-05 13:00:00,False
2020-09-05 13:15:00,2.1,2020-09-05 13:15:00,False
2020-09-05 13:30:00,2.1,2020-09-05 13:30:00,False
2020-09-05 13:45:00,2.45,2020-09-05 13:45:00,False
2020-09-05 14:00:00,2.1,2020-09-05 14:00:00,False
2020-09-05 14:15:00,2.45,2020-09-05 14:15:00,False
2020-09-05 14:30:00,2.1,2020-09-05 14:30:00,False
2020-09-05 14:45:00,2.1,2020-09-05 14:45:00,False
2020-09-05 15:00:00,2.45,2020-09-05 15:00:00,False
2020-09-05 15:15:00,2.45,2020-09-05 15:15:00,False
2020-09-05 15:30:00,2.45,2020-09-05 15:30:00,False
2020-09-05 15:45:00,2.45,2020-09-05 15:45:00,False
2020-09-05 16:00:00,2.45,2020-09-05 16:00:00,False
2020-09-05 16:15:00,2.45,2020-09-05 16:15:00,False
2020-09-05 16:30:00,2.45,2020-09-05 16:30:00,False
2020-09-05 16:45:00,2.45,2020-09-05 16:45:00,False
2020-09-05 17:00:00,2.8,2020-09-05 17:00:00,False
2020-09-05 17:15:00,2.8,2020-09-05 17:15:00,False
2020-09-05 17:30:00,2.8,2020-09-05 17:30:00,False
2020-09-05 17:45:00,3.15,2020-09-05 17:45:00,False
2020-09-05 18:00:00,3.15,2020-09-05 18:00:00,False
2020-09-05 18:15:00,3.15,2020-09-05 18:15:00,False
2020-09-05 18:30:00,3.5,2020-09-05 18:30:00,False
2020-09-05 18:45:00,3.85,2020-09-05 18:45:00,False
2020-09-05 19:00:00,3.85,2020-09-05 19:00:00,False
2020-09-05 19:15:00,3.85,2020-09-05 19:15:00,False
2020-09-05 19:30:00,3.5,2020-09-05 19:30:00,False
2020-09-05 19:45:00,3.85,2020-09-05 19:45:00,False
2020-09-05 20:00:00,3.85,2020-09-05 20:00:00,False
2020-09-05 20:15:00,3.5,2020-09-05 20:15:00,False
2020-09-05 20:30:00,3.85,2020-09-05 20:30:00,False
2020-09-05 20:45:00,3.5,2020-09-05 20:45:00,False
2020-09-05 21:00:00,3.5,2020-09-05 21:00:00,False
2020-09-05 21:15:00,3.85,2020-09-05 21:15:00,False
2020-09-05 21:30:00,3.5,2020-09-05 21:30:00,False
2020-09-05 21:45:00,3.85,2020-09-05 21:45:00,False
2020-09-05 22:00:00,3.85,2020-09-05 22:00:00,False
2020-09-05 22:15:00,3.85,2020-09-05 22:15:00,False
2020-09-05 22:30:00,3.85,2020-09-05 22:30:00,False
2020-09-05 22:45:00,3.85,2020-09-05 22:45:00,False
2020-09-05 23:00:00,3.85,2020-09-05 23:00:00,False
2020-09-05 23:15:00,3.85,2020-09-05 23:15:00,False
2020-09-05 23:30:00,4.2,2020-09-05 23:30:00,False
2020-09-05 23:45:00,4.2,2020-09-05 23:45:00,False
2020-09-06 00:00:00,3.5,2020-09-06 00:00:00,False
2020-09-06 00:15:00,3.15,2020-09-06 00:15:00,False
2020-09-06 00:30:00,3.5,2020-09-06 00:30:00,False
2020-09-06 00:45:00,3.15,2020-09-06 00:45:00,False
2020-09-06 01:00:00,3.5,2020-09-06 01:00:00,False
2020-09-06 01:15:00,3.15,2020-09-06 01:15:00,False
2020-09-06 01:30:00,3.5,2020-09-06 01:30:00,False
2020-09-06 01:45:00,3.85,2020-09-06 01:45:00,False
2020-09-06 02:00:00,3.5,2020-09-06 02:00:00,False
2020-09-06 02:15:00,3.15,2020-09-06 02:15:00,False
2020-09-06 02:30:00,3.15,2020-09-06 02:30:00,False
2020-09-06 02:45:00,3.5,2020-09-06 02:45:00,False
2020-09-06 03:00:00,3.15,2020-09-06 03:00:00,False
2020-09-06 03:15:00,3.5,2020-09-06 03:15:00,False
2020-09-06 03:30:00,3.15,2020-09-06 03:30:00,False
2020-09-06 03:45:00,3.5,2020-09-06 03:45:00,False
2020-09-06 04:00:00,3.15,2020-09-06 04:00:00,False
2020-09-06 04:15:00,3.5,2020-09-06 04:15:00,False
2020-09-06 04:30:00,3.15,2020-09-06 04:30:00,False
2020-09-06 04:45:00,3.5,2020-09-06 04:45:00,False
2020-09-06 05:00:00,3.15,2020-09-06 05:00:00,False
2020-09-06 05:15:00,3.15,2020-09-06 05:15:00,False
2020-09-06 05:30:00,3.5,2020-09-06 05:30:00,False
2020-09-06 05:45:00,3.15,2020-09-06 05:45:00,False
2020-09-06 06:00:00,3.15,2020-09-06 06:00:00,False
2020-09-06 06:15:00,3.15,2020-09-06 06:15:00,False
2020-09-06 06:30:00,3.15,2020-09-06 06:30:00,False
2020-09-06 06:45:00,5.6,2020-09-06 06:45:00,False
2020-09-06 07:00:00,5.25,2020-09-06 07:00:00,False
2020-09-06 07:15:00,5.25,2020-09-06 07:15:00,False
2020-09-06 07:30:00,5.6,2020-09-06 07:30:00,False
2020-09-06 07:45:00,5.6,2020-09-06 07:45:00,False
2020-09-06 08:00:00,7.35,2020-09-06 08:00:00,False
2020-09-06 08:15:00,6.65,2020-09-06 08:15:00,False
2020-09-06 08:30:00,6.3,2020-09-06 08:30:00,False
2020-09-06 08:45:00,5.95,2020-09-06 08:45:00,False
2020-09-06 09:00:00,6.3,2020-09-06 09:00:00,False
2020-09-06 09:15:00,6.65,2020-09-06 09:15:00,False
2020-09-06 09:30:00,6.3,2020-09-06 09:30:00,False
2020-09-06 09:45:00,7.0,2020-09-06 09:45:00,False
2020-09-06 10:00:00,6.65,2020-09-06 10:00:00,False
2020-09-06 10:15:00,7.7,2020-09-06 10:15:00,False
2020-09-06 10:30:00,7.35,2020-09-06 10:30:00,False
2020-09-06 10:45:00,6.65,2020-09-06 10:45:00,False
2020-09-06 11:00:00,7.0,2020-09-06 11:00:00,False
2020-09-06 11:15:00,6.65,2020-09-06 11:15:00,False
2020-09-06 11:30:00,7.0,2020-09-06 11:30:00,False
2020-09-06 11:45:00,6.65,2020-09-06 11:45:00,False
2020-09-06 12:00:00,6.65,2020-09-06 12:00:00,False
2020-09-06 12:15:00,6.65,2020-09-06 12:15:00,False
2020-09-06 12:30:00,6.65,2020-09-06 12:30:00,False
2020-09-06 12:45:00,6.65,2020-09-06 12:45:00,False
2020-09-06 13:00:00,5.95,2020-09-06 13:00:00,False
2020-09-06 13:15:00,5.6,2020-09-06 13:15:00,False
2020-09-06 13:30:00,6.3,2020-09-06 13:30:00,False
2020-09-06 13:45:00,6.3,2020-09-06 13:45:00,False
2020-09-06 14:00:00,5.6,2020-09-06 14:00:00,False
2020-09-06 14:15:00,6.3,2020-09-06 14:15:00,False
