Datetime,Valeur
2019-11-28 17:00:00,10.29
2019-11-28 17:15:00,9.66
2019-11-28 17:30:00,9.66
2019-11-28 17:45:00,8.4
2019-11-28 18:00:00,8.19
2019-11-28 18:15:00,8.19
2019-11-28 18:30:00,7.77
2019-11-28 18:45:00,7.35
2019-11-28 19:00:00,6.3
2019-11-28 19:15:00,6.3
2019-11-28 19:30:00,5.88
2019-11-28 19:45:00,5.46
2019-11-28 20:00:00,5.67
2019-11-28 20:15:00,5.88
2019-11-28 20:30:00,5.67
2019-11-28 20:45:00,5.88
2019-11-28 21:00:00,5.46
2019-11-28 21:15:00,4.83
2019-11-28 21:30:00,4.41
2019-11-28 21:45:00,4.83
2019-11-28 22:00:00,4.83
2019-11-28 22:15:00,4.62
2019-11-28 22:30:00,5.04
2019-11-28 22:45:00,4.62
2019-11-28 23:00:00,4.2
2019-11-28 23:15:00,3.78
2019-11-28 23:30:00,3.78
2019-11-28 23:45:00,3.78
2019-11-29 00:00:00,3.78
2019-11-29 00:15:00,3.78
2019-11-29 00:30:00,3.78
2019-11-29 00:45:00,3.78
2019-11-29 01:00:00,3.78
2019-11-29 01:15:00,3.78
2019-11-29 01:30:00,3.78
2019-11-29 01:45:00,3.57
2019-11-29 02:00:00,3.57
2019-11-29 02:15:00,3.78
2019-11-29 02:30:00,3.78
2019-11-29 02:45:00,3.57
2019-11-29 03:00:00,3.57
2019-11-29 03:15:00,3.99
2019-11-29 03:30:00,3.57
2019-11-29 03:45:00,3.78
2019-11-29 04:00:00,3.78
2019-11-29 04:15:00,3.78
2019-11-29 04:30:00,3.78
2019-11-29 04:45:00,3.57
2019-11-29 05:00:00,3.57
2019-11-29 05:15:00,3.57
2019-11-29 05:30:00,3.78
2019-11-29 05:45:00,3.57
2019-11-29 06:00:00,3.57
2019-11-29 06:15:00,8.4
2019-11-29 06:30:00,10.92
2019-11-29 06:45:00,11.13
2019-11-29 07:00:00,10.71
2019-11-29 07:15:00,11.55
2019-11-29 07:30:00,10.71
2019-11-29 07:45:00,10.92
2019-11-29 08:00:00,13.86
2019-11-29 08:15:00,16.17
2019-11-29 08:30:00,12.6
2019-11-29 08:45:00,15.75
2019-11-29 09:00:00,16.38
2019-11-29 09:15:00,15.75
2019-11-29 09:30:00,12.18
