Date,"Forecasted consumption kW"
2019-07-03 00:00:00,6.719238024626306
2019-07-03 00:15:00,6.7745306311730715
2019-07-03 00:30:00,6.372161098305486
2019-07-03 00:45:00,5.983380327892486
2019-07-03 01:00:00,6.196633706935374
2019-07-03 01:15:00,6.508881284367761
2019-07-03 01:30:00,5.98570117510248
2019-07-03 01:45:00,6.115585985503505
2019-07-03 02:00:00,6.132999414946816
2019-07-03 02:15:00,6.851501733804453
2019-07-03 02:30:00,6.909178553622912
2019-07-03 02:45:00,5.936032007692205
2019-07-03 03:00:00,6.203580729190249
2019-07-03 03:15:00,6.232359304848495
2019-07-03 03:30:00,6.550908756987018
2019-07-03 03:45:00,6.8629743411279724
2019-07-03 04:00:00,6.745360943520249
2019-07-03 04:15:00,6.7929887697287015
2019-07-03 04:30:00,7.54171046389154
2019-07-03 04:45:00,7.767833544679153
2019-07-03 05:00:00,7.926624228795147
2019-07-03 05:15:00,7.982840806755126
2019-07-03 05:30:00,8.507215904365584
2019-07-03 05:45:00,8.98234885747873
2019-07-03 06:00:00,10.043978533890916
2019-07-03 06:15:00,10.47083813534961
2019-07-03 06:30:00,11.092825360896938
2019-07-03 06:45:00,11.530746492669298
2019-07-03 07:00:00,12.361605409748991
2019-07-03 07:15:00,13.592546981537396
2019-07-03 07:30:00,14.06167513098309
2019-07-03 07:45:00,14.536539034591263
2019-07-03 08:00:00,15.695236256326856
2019-07-03 08:15:00,16.552890491983263
2019-07-03 08:30:00,17.394856891292505
2019-07-03 08:45:00,17.300654499192625
2019-07-03 09:00:00,18.817869914827174
2019-07-03 09:15:00,19.38422686178401
2019-07-03 09:30:00,19.436994531384705
2019-07-03 09:45:00,20.279526942111197
2019-07-03 10:00:00,21.079843585545312
2019-07-03 10:15:00,21.680479924713374
2019-07-03 10:30:00,22.070901254588513
2019-07-03 10:45:00,23.055923027976306
2019-07-03 11:00:00,23.587567391246285
2019-07-03 11:15:00,23.870179514744947
2019-07-03 11:30:00,23.47998762330549
2019-07-03 11:45:00,22.73102731842809
2019-07-03 12:00:00,24.495517934762233
2019-07-03 12:15:00,24.56155956776263
2019-07-03 12:30:00,24.19625376212951
2019-07-03 12:45:00,23.905806988248038
2019-07-03 13:00:00,24.05937989225695
2019-07-03 13:15:00,23.648209571664886
2019-07-03 13:30:00,23.844820256499283
2019-07-03 13:45:00,23.771468462406418
2019-07-03 14:00:00,23.412743684519118
2019-07-03 14:15:00,23.294746510816204
2019-07-03 14:30:00,22.594822513414655
2019-07-03 14:45:00,22.13959407828879
2019-07-03 15:00:00,21.34235540244226
2019-07-03 15:15:00,20.93599130205454
2019-07-03 15:30:00,20.89856343258517
2019-07-03 15:45:00,20.330836259238293
2019-07-03 16:00:00,19.46344662792135
2019-07-03 16:15:00,19.52648185444161
2019-07-03 16:30:00,18.949116314537136
2019-07-03 16:45:00,18.485238538236384
2019-07-03 17:00:00,17.228561105672632
2019-07-03 17:15:00,16.295747135509615
2019-07-03 17:30:00,16.153222378765474
2019-07-03 17:45:00,15.521418418864249
2019-07-03 18:00:00,14.95945590740743
2019-07-03 18:15:00,14.583855688629212
2019-07-03 18:30:00,13.155285002777315
2019-07-03 18:45:00,12.613317175170176
2019-07-03 19:00:00,12.210758001422931
2019-07-03 19:15:00,11.079690365366123
2019-07-03 19:30:00,11.441940882822529
2019-07-03 19:45:00,10.084134682281912
2019-07-03 20:00:00,10.179780253032504
2019-07-03 20:15:00,9.344198100152614
2019-07-03 20:30:00,8.568888863411676
2019-07-03 20:45:00,8.357649130332584
2019-07-03 21:00:00,8.615073667533519
2019-07-03 21:15:00,8.069709553039964
2019-07-03 21:30:00,7.585784623286327
2019-07-03 21:45:00,7.73543103871425
2019-07-03 22:00:00,6.803320736137543
2019-07-03 22:15:00,7.154753746905999
2019-07-03 22:30:00,6.3408999433485675
2019-07-03 22:45:00,6.427418751876116
2019-07-03 23:00:00,6.08667341294199
2019-07-03 23:15:00,6.011807020083966
2019-07-03 23:30:00,6.350545497032018
2019-07-03 23:45:00,5.823113960814952
2019-07-04 00:00:00,6.687896997876987
2019-07-04 00:15:00,6.7151393581482655
2019-07-04 00:30:00,6.313110777119715
2019-07-04 00:45:00,5.975956073394858
2019-07-04 01:00:00,6.2147905674157
2019-07-04 01:15:00,6.477306831970373
2019-07-04 01:30:00,5.928824116145375
2019-07-04 01:45:00,6.119955294000178
2019-07-04 02:00:00,6.135278407525471
2019-07-04 02:15:00,6.792172805050917
2019-07-04 02:30:00,6.834078362024928
2019-07-04 02:45:00,5.9218944920766905
2019-07-04 03:00:00,6.176206988153923
2019-07-04 03:15:00,6.152283145558936
2019-07-04 03:30:00,6.506681830621524
2019-07-04 03:45:00,6.725051290012267
2019-07-04 04:00:00,6.689709444790616
2019-07-04 04:15:00,6.772630245458013
2019-07-04 04:30:00,7.29505250617618
2019-07-04 04:45:00,7.562408442151224
2019-07-04 05:00:00,7.687729215976681
2019-07-04 05:15:00,7.85248851065162
2019-07-04 05:30:00,8.297995642714092
2019-07-04 05:45:00,8.665335630599985
2019-07-04 06:00:00,9.51472148132284
2019-07-04 06:15:00,10.013460133601374
2019-07-04 06:30:00,10.749032239752264
2019-07-04 06:45:00,10.904897744555447
2019-07-04 07:00:00,11.625430232456894
2019-07-04 07:15:00,12.985626280850902
2019-07-04 07:30:00,13.464548414018163
2019-07-04 07:45:00,13.818926231032163
2019-07-04 08:00:00,15.003149332844
2019-07-04 08:15:00,15.695851261543702
2019-07-04 08:30:00,16.64192464954308
2019-07-04 08:45:00,16.626196462185057
