timestamp,h_1_actuals,h_2_actuals,h_3_actuals,h_4_actuals,h_5_actuals,h_6_actuals,h_7_actuals,h_8_actuals,h_9_actuals,h_10_actuals,h_11_actuals,h_12_actuals,h_13_actuals,h_14_actuals,h_15_actuals,h_16_actuals,h_17_actuals,h_18_actuals,h_19_actuals,h_20_actuals,h_21_actuals,h_22_actuals,h_23_actuals,h_24_actuals,h_25_actuals,h_26_actuals,h_27_actuals,h_28_actuals,h_29_actuals,h_30_actuals,h_31_actuals,h_32_actuals,h_33_actuals,h_34_actuals,h_35_actuals,h_36_actuals,h_37_actuals,h_38_actuals,h_39_actuals,h_40_actuals,h_41_actuals,h_42_actuals,h_43_actuals,h_44_actuals,h_45_actuals,h_46_actuals,h_47_actuals,h_48_actuals,h_49_actuals,h_50_actuals,h_51_actuals,h_52_actuals,h_53_actuals,h_54_actuals,h_55_actuals,h_56_actuals,h_57_actuals,h_58_actuals,h_59_actuals,h_60_actuals,h_61_actuals,h_62_actuals,h_63_actuals,h_64_actuals,h_65_actuals,h_66_actuals,h_67_actuals,h_68_actuals,h_69_actuals,h_70_actuals,h_71_actuals,h_72_actuals,h_1_preds,h_2_preds,h_3_preds,h_4_preds,h_5_preds,h_6_preds,h_7_preds,h_8_preds,h_9_preds,h_10_preds,h_11_preds,h_12_preds,h_13_preds,h_14_preds,h_15_preds,h_16_preds,h_17_preds,h_18_preds,h_19_preds,h_20_preds,h_21_preds,h_22_preds,h_23_preds,h_24_preds,h_25_preds,h_26_preds,h_27_preds,h_28_preds,h_29_preds,h_30_preds,h_31_preds,h_32_preds,h_33_preds,h_34_preds,h_35_preds,h_36_preds,h_37_preds,h_38_preds,h_39_preds,h_40_preds,h_41_preds,h_42_preds,h_43_preds,h_44_preds,h_45_preds,h_46_preds,h_47_preds,h_48_preds,h_49_preds,h_50_preds,h_51_preds,h_52_preds,h_53_preds,h_54_preds,h_55_preds,h_56_preds,h_57_preds,h_58_preds,h_59_preds,h_60_preds,h_61_preds,h_62_preds,h_63_preds,h_64_preds,h_65_preds,h_66_preds,h_67_preds,h_68_preds,h_69_preds,h_70_preds,h_71_preds,h_72_preds
2019-07-03,20.16,20.37,19.95,20.58,20.58,33.39,50.19,55.02,73.5,65.52,61.95,74.55,69.93,47.88,43.89,41.58,38.43000000000001,30.450000000000006,27.3,24.78,24.57,24.36,20.37,19.53,19.53,19.53,18.48,18.48,18.69,20.16,20.79,17.64,17.64,17.64,18.06,17.85,17.43,17.64,17.64,18.06,17.22,18.06,17.22,21.42,23.52,23.1,19.11,24.78,25.2,24.78,24.990000000000002,24.78,24.78,42.84,52.92,66.99000000000001,65.73,77.28000000000002,65.72999999999999,68.25,77.07,54.39,50.82,47.88,44.73,38.22,31.08,28.35,31.5,28.35,24.57,24.990000000000002,15.48158481381834,14.146989637613302,15.606762273609643,19.059139542281635,27.544847935438167,39.81797835677864,44.07200462669136,58.24510520696642,71.92933134287598,74.71711269915106,76.11526385843757,70.22563909292224,69.83055612891916,63.39850404113533,60.257809567451496,55.815526141226314,53.71152264922859,38.68904436975719,33.34926525279881,30.524668467789898,26.921182219684134,23.120028349757202,24.51635048165918,20.92907972484828,21.70250820368529,22.20136291757227,22.625734242796906,28.460633900016557,33.452965233474984,43.65327697098257,53.98331046402456,68.6711485013366,71.40507685393098,83.91943010687831,84.74197482168678,85.29938233494762,82.65515244305136,72.84563274085524,66.39657352566721,63.03058898448946,53.9102668091655,42.686319561302675,43.55904617607595,32.73534927517177,29.35116362795235,26.069751486182223,19.891768918186433,29.0087222903967,24.76518737375737,25.155996807664643,22.017316221445807,28.322382482886326,34.01654924824835,44.265846732258815,56.69820040315392,59.02548442482951,74.0502158224583,83.5942590504885,80.52382445633414,86.45362257957461,78.95639365911487,68.89398971647027,63.529789495468165,57.125836139917396,44.37346139699222,43.013969917595404,33.067142672091734,31.38769319057466,25.521278151869783,30.903033556044115,23.01322489455343,23.61346557587386
2019-07-04,19.53,19.53,18.48,18.48,18.69,20.16,20.79,17.64,17.64,17.64,18.06,17.85,17.43,17.64,17.64,18.06,17.22,18.06,17.22,21.42,23.52,23.1,19.11,24.78,25.2,24.78,24.990000000000002,24.78,24.78,42.84,52.92,66.99000000000001,65.73,77.28000000000002,65.72999999999999,68.25,77.07,54.39,50.82,47.88,44.73,38.22,31.08,28.35,31.5,28.35,24.57,24.990000000000002,24.990000000000002,25.2,24.78,24.78,24.78,28.14,46.82999999999999,53.97,86.10000000000004,72.24,66.36,75.6,78.74999999999999,61.95,44.73,40.53,33.81,30.03,26.46,24.36,26.46,29.19,26.04,24.990000000000002,17.696303182840353,17.025108852982527,15.905424394458539,16.185890846326952,25.10401632785798,31.89856380969287,41.19432037621738,55.377633932232875,59.00571527034047,64.43623023927213,67.26190138757231,66.23234817981722,67.07359203547242,62.118811221420785,61.50831189304592,51.9982133254409,50.71164806038143,34.814022586494694,32.15392952486874,31.249159046262513,22.287224987894305,23.680484966933737,22.20815489441157,18.76386362314225,18.191671653091912,19.041088499128826,20.246402321755895,27.007196527719508,32.445192892849455,45.90940943509342,53.82342606782915,66.72428912669423,65.41910736411812,78.18910688459876,77.4775652110577,78.86042300462725,74.60295181274417,65.54353777170184,60.52519553750756,54.51778662800791,50.83338603526356,41.83822500854732,40.449830111861246,32.85934471786023,33.80395798087121,27.137129241228113,26.408423852920542,31.714930330216895,24.225052316486845,31.184155717492114,23.812007477134475,27.911236265301714,27.001457165926706,25.51744393631817,34.119751194119466,38.2428182333708,40.55363448411228,48.35657413154842,42.78131589442493,49.67107284218075,46.93332984745504,37.960260687768475,40.95485915243627,32.417618293315186,34.97477038800718,35.116688559204356,23.023959828168163,27.585438859462748,25.77189187556506,29.23228554725648,27.693492838740358,27.087182222306737
2019-07-05,25.2,24.78,24.990000000000002,24.78,24.78,42.84,52.92,66.99000000000001,65.73,77.28000000000002,65.72999999999999,68.25,77.07,54.39,50.82,47.88,44.73,38.22,31.08,28.35,31.5,28.35,24.57,24.990000000000002,24.990000000000002,25.2,24.78,24.78,24.78,28.14,46.82999999999999,53.97,86.10000000000004,72.24,66.36,75.6,78.74999999999999,61.95,44.73,40.53,33.81,30.03,26.46,24.36,26.46,29.19,26.04,24.990000000000002,24.57,25.2,24.36,25.2,24.78,23.73,24.36,23.73,23.52,24.15,23.94,24.36,24.15,23.73,23.73,24.15,23.73,23.52,23.73,23.52,24.15,28.14,25.2,16.380000000000006,6.653348090127113,12.09246340245009,11.976440866291528,17.042409581691032,22.44936467707158,33.929784625768676,37.21724930405618,46.61523566991092,54.779409313201924,67.9346920385957,62.68610548675063,56.9696576446295,64.91096397489312,63.60592140108349,56.10732669085266,51.908580109477064,41.4065745458007,36.39865407049657,28.22037234082819,27.060475377738484,24.896886044740686,25.516373922675857,26.315745882689964,25.23188078328968,31.84847542718054,34.22053038552405,33.24266188144685,29.79284873083235,35.65423557534815,38.37707884758712,39.91427523493768,48.62670038044455,50.01495173871519,52.46100292503836,52.3649452775717,58.71702471971514,51.586458157002944,51.199704770743864,45.92147536128761,43.28803259879352,42.63421946614982,31.34061041548849,37.37973044067623,31.96535484418274,34.14635147228838,32.008931802213205,30.554152563214313,31.62923572137953,35.19760290384294,32.79892809391023,31.951040149480114,27.453031195700177,20.03385890051723,27.881145393848428,30.0974742203951,35.45932563096286,39.642178595066085,44.737144245207325,41.45899216532709,46.661185361444964,50.86942287683489,44.98534391373398,43.45782984495165,36.52782994508745,40.213030873239056,40.380366218090074,39.24169771671296,25.925882497429857,24.79985407590867,26.775799553096302,24.10525211021305,23.913821884989748
2019-07-06,24.990000000000002,25.2,24.78,24.78,24.78,28.14,46.82999999999999,53.97,86.10000000000004,72.24,66.36,75.6,78.74999999999999,61.95,44.73,40.53,33.81,30.03,26.46,24.36,26.46,29.19,26.04,24.990000000000002,24.57,25.2,24.36,25.2,24.78,23.73,24.36,23.73,23.52,24.15,23.94,24.36,24.15,23.73,23.73,24.15,23.73,23.52,23.73,23.52,24.15,28.14,25.2,16.380000000000006,16.380000000000006,17.22,17.22,16.8,16.8,30.66,38.43000000000001,49.77,68.88,64.89,61.10999999999999,74.34,71.82,53.55,48.72,52.290000000000006,43.26000000000001,33.6,22.68,17.01,19.53,20.58,18.06,24.990000000000002,29.39220474064351,21.03863868266345,21.59696614667774,31.68531357049943,33.311421132087716,37.777723319828524,48.848054015636464,51.876327462494395,56.18869557380678,57.951155930757544,56.63992380648853,55.29989700615408,49.35086038559677,47.2800273165107,42.441412577033056,38.65137640982868,36.67242967486383,34.771139397472155,37.73998576551677,27.133327648043643,33.40644791275264,30.989680738002072,29.02354371920229,27.87276362031699,21.71480683609844,22.966492266207943,26.070503975451,22.05383152440191,27.87447085753084,30.240771230310212,37.148729284107695,41.93822778761388,54.760270857810994,53.10267618745567,53.420126616954825,55.766588240861914,57.73083316236737,49.00455003529789,47.54116719067098,43.19197495132686,37.84315508902074,41.273523133993166,32.703659907728444,35.09056021794678,29.567265062034142,28.24449331909419,27.2585779644549,20.429877039045103,22.0549493841827,20.090289071202285,19.79450424313546,28.937820837646733,33.20309529975058,42.43459232747556,59.26641582995655,65.91781636476519,81.25628794133667,84.00397858321669,84.21151773333553,85.03695061504844,82.2761327326298,70.74799713492396,65.46703614592555,54.82167050242426,48.30999809056522,41.44717851877214,37.94206610620023,27.54660084396602,32.853781516850006,22.20030812770129,27.4574047677219,26.526503773033628
2019-07-07,24.57,25.2,24.36,25.2,24.78,23.73,24.36,23.73,23.52,24.15,23.94,24.36,24.15,23.73,23.73,24.15,23.73,23.52,23.73,23.52,24.15,28.14,25.2,16.380000000000006,16.380000000000006,17.22,17.22,16.8,16.8,30.66,38.43000000000001,49.77,68.88,64.89,61.10999999999999,74.34,71.82,53.55,48.72,52.290000000000006,43.26000000000001,33.6,22.68,17.01,19.53,20.58,18.06,24.990000000000002,24.57,24.36,24.57,24.990000000000002,25.2,25.62,25.62,23.52,24.15,23.73,23.94,24.36,24.15,24.15,23.73,24.15,23.52,23.52,24.36,27.51,27.93,27.93,24.78,16.380000000000006,24.22031337395311,21.180915699899206,15.536780771613127,20.062520912289628,19.867774079740055,20.14522513747216,30.211306708306086,36.457261240482346,38.41804384142162,39.349381975829615,43.00324803292753,40.23066869974138,39.296612034738075,39.62921664118768,37.10273609608413,29.960134054720413,35.38198887258769,30.164830709248793,27.07259784936906,27.202704548835765,26.800327223539362,26.203979478031407,28.196120873093616,26.088002613186845,21.760123653709897,25.413852696865806,20.75011776834727,26.357319827377804,30.561675281077633,43.407930672168746,50.550023804605026,60.142717856168765,68.61537730246785,75.84068791866305,79.07040665745738,81.48272196650508,73.78360843956473,69.7665553942323,65.28008823394778,56.07188140153887,54.45483850836756,45.02272044718267,39.474686662852775,33.61638806909324,33.445468613505376,25.382406909763823,24.608904486894616,27.131537767499694,19.625309423357255,21.373905274271973,25.829896619170913,29.85878940895201,35.081408556550755,46.201518809795395,58.985576395690465,75.10827662944796,80.47091532647613,90.73929689526561,85.64944208264355,89.8690539300442,88.90135273039344,78.64297535419468,73.50170769095423,63.833673369884515,55.85269824117424,51.146547710895554,38.400066742301,32.53055910319091,30.32005880624057,29.006071179360163,23.138368644565354,20.077477180212743
2019-07-08,16.380000000000006,17.22,17.22,16.8,16.8,30.66,38.43000000000001,49.77,68.88,64.89,61.10999999999999,74.34,71.82,53.55,48.72,52.290000000000006,43.26000000000001,33.6,22.68,17.01,19.53,20.58,18.06,24.990000000000002,24.57,24.36,24.57,24.990000000000002,25.2,25.62,25.62,23.52,24.15,23.73,23.94,24.36,24.15,24.15,23.73,24.15,23.52,23.52,24.36,27.51,27.93,27.93,24.78,16.380000000000006,16.17,16.17,16.590000000000003,16.17,16.17,36.75,46.41,56.91,66.15,70.35,56.489999999999995,70.77000000000002,70.14000000000001,47.04,49.35,47.25,44.94000000000001,39.69,24.15,20.37,20.37,20.16,18.06,23.73,18.486123313754803,12.71755362823606,14.401829045265918,19.43731759563089,24.643632084131248,44.90621509999038,48.11907024979593,62.065841196477436,71.84438704848291,79.95017535388473,80.40237355828287,81.38731676638129,77.13517824411394,74.25979930758479,65.36041755080225,58.82432186007502,54.30334458500149,45.70007822960617,34.08281832486392,35.268241202831284,29.466396702826035,25.70492685511709,27.496070972085008,26.053572966903456,25.0291523449123,26.330097549408684,25.410836215317257,27.998692481964838,37.17922902256252,50.31725234091284,59.926514205336595,71.17992162555458,84.52929438650611,89.46384933292869,94.47385329008105,92.47024839520458,88.05982614755634,78.7379194915295,70.11557122617963,61.86045512259009,57.27505519688131,45.30461249649526,44.90927725285293,35.523052337765705,33.94054348245265,29.87926973104478,24.520863242447383,28.588100362569104,27.476380111277113,27.104406832158574,29.849533355981123,28.88701476305724,34.20031974166633,48.62462559789421,58.75425336509945,70.14112541377547,86.26594392657283,95.22216689586642,92.52856848835948,97.62389515936378,98.83916967809203,83.04365438818934,75.97081201672557,67.98271651268008,62.16342122107746,52.025572617352026,47.10803784728052,37.19494430422784,32.62245848625899,33.37471722364427,24.21385632008315,28.004653675854215
2019-07-09,24.57,24.36,24.57,24.990000000000002,25.2,25.62,25.62,23.52,24.15,23.73,23.94,24.36,24.15,24.15,23.73,24.15,23.52,23.52,24.36,27.51,27.93,27.93,24.78,16.380000000000006,16.17,16.17,16.590000000000003,16.17,16.17,36.75,46.41,56.91,66.15,70.35,56.489999999999995,70.77000000000002,70.14000000000001,47.04,49.35,47.25,44.94000000000001,39.69,24.15,20.37,20.37,20.16,18.06,23.73,24.36,24.15,24.15,23.73,24.15,39.06,53.55,78.33,67.2,69.72,69.09,78.74999999999999,86.31,53.97,49.35,46.20000000000001,45.78000000000001,40.32,33.6,30.87,30.66,27.72,24.36,28.98,19.88494214415551,15.662363836169249,18.045432105660446,18.387210121750837,27.95897801220418,30.802208693325532,40.47073017507793,54.69680947959425,62.8412052690983,67.8293652892113,68.28332510143521,66.9424892663956,64.89531393796207,59.457474160194415,60.31678210794928,52.3407046839595,48.958469854295274,37.63407181352378,34.726422831416144,31.71590682640673,28.107105307281028,24.798436090350158,27.169197028130302,26.13269525617362,23.879237826168545,22.467537510395058,25.42470724582673,31.32806385308505,34.6569284901023,46.64845393896105,54.85965163707735,67.35698906332257,74.76629852950576,84.13903518319133,83.95514942407611,86.22804978489879,81.96089627444746,77.51447633206847,68.27722689360382,59.60788067132237,57.52386381626131,45.4234014093876,43.133720102906246,34.123600633442415,33.63924764916302,29.610696306824696,24.0848522566259,29.40648898780347,25.297758391499528,27.545837480574857,23.884405209124097,30.85706864073874,31.27258190587164,40.23793261349203,50.027565720677394,60.317739030718826,71.51808508336546,82.74215412139895,80.75377299785617,86.74595378637316,81.50682772099975,70.59681638628247,67.84663339555266,57.680525122582935,52.357024566829224,47.01165832579137,35.662160635739575,32.403344920277604,28.2452980041504,31.023129538446675,28.059026462584743,27.415585067868243
2019-07-10,16.17,16.17,16.590000000000003,16.17,16.17,36.75,46.41,56.91,66.15,70.35,56.489999999999995,70.77000000000002,70.14000000000001,47.04,49.35,47.25,44.94000000000001,39.69,24.15,20.37,20.37,20.16,18.06,23.73,24.36,24.15,24.15,23.73,24.15,39.06,53.55,78.33,67.2,69.72,69.09,78.74999999999999,86.31,53.97,49.35,46.20000000000001,45.78000000000001,40.32,33.6,30.87,30.66,27.72,24.36,28.98,23.73,20.37,19.95,20.16,20.37,20.37,20.37,19.95,19.32,19.95,19.95,19.32,19.53,19.74,19.95,19.11,19.950000000000006,20.58,20.16,20.58,20.16,20.16,20.16,24.78,15.621737027540808,14.889329000562435,13.519998615235096,16.53291453905404,23.18708688765765,28.248925611376773,35.97511352822186,49.46584770530464,59.71102824658158,61.71587279140952,64.02506227344277,60.35781234651806,61.213744966685795,57.112478367984316,57.511732645332835,52.717858394980446,53.47914265394213,36.80430233180524,33.12177861258389,28.170199140161287,27.680741842836152,26.702355730533608,25.132671815156947,20.589546127617368,22.1142677217722,21.264639917761095,22.071110504865654,28.841045498102915,32.157078670710334,37.75118611156942,51.691606570780294,64.24638546109202,60.504425963759445,72.67626176029447,76.10052724778654,75.88415831029418,74.90070268213752,67.70189012736084,64.67423868030312,61.01570110023024,51.784806498885175,41.76543798297645,43.95614302754404,32.66896058321,27.12219472154976,22.456063136458404,18.658576020598417,27.89078639075161,23.00532158240677,23.20147335156799,20.68187395110727,25.915691269934186,29.181188046187174,34.41075793281199,44.339099170267595,46.110889524221434,58.53317810744049,68.79723612517121,63.388495498895665,71.42447628825906,63.40597238838675,57.11852438002827,53.04066324234011,49.37563598603012,37.197706331312666,38.50384066700937,27.466589051485073,30.602207484841358,24.236174368858347,29.611807642132053,27.164342819899332,23.86227854490281
2019-07-11,24.36,24.15,24.15,23.73,24.15,39.06,53.55,78.33,67.2,69.72,69.09,78.74999999999999,86.31,53.97,49.35,46.20000000000001,45.78000000000001,40.32,33.6,30.87,30.66,27.72,24.36,28.98,23.73,20.37,19.95,20.16,20.37,20.37,20.37,19.95,19.32,19.95,19.95,19.32,19.53,19.74,19.95,19.11,19.950000000000006,20.58,20.16,20.58,20.16,20.16,20.16,24.78,24.78,24.36,24.78,24.990000000000002,24.78,24.990000000000002,24.36,23.52,23.94,23.73,24.15,23.73,24.57,23.73,23.73,23.73,23.94,23.31,23.31,23.73,24.990000000000002,28.14,24.990000000000002,24.78,17.59640479534865,19.19817607104779,15.390671713650232,18.253558458387857,25.583069264888774,33.4566341623664,43.21963436901571,55.32694312334063,59.08380451798441,65.57489874064925,68.30093683004382,67.68939793556932,69.56952499598268,64.7219238817692,62.342370128631615,53.176742009818575,51.769152112305186,37.15019946545364,33.87705165669323,32.89024897366763,24.615339792519816,26.387806516885767,23.944815308600674,20.511145880073315,20.720259603112943,21.94638432115317,21.67025555670262,27.38253426030279,33.46902413740755,45.82854946106674,54.18852255195381,66.79740672558549,65.75006345361473,77.79689033925536,76.25231259763244,78.34101402461532,73.14100870192054,65.3655762344599,60.23738796561958,53.46496279835703,50.689247368276135,42.25982343256475,40.13210565447809,33.8716450430453,34.03076607584955,27.656351186335097,28.666955148428688,32.253373374044905,25.719045815616855,31.938065146654857,25.08251601308585,28.734172448515903,28.02551459223033,26.71390622332693,33.82352270185949,39.730111098289505,39.586024627089515,46.93863641917707,42.01990114599468,46.34124258309605,45.68712497502567,37.32963118404151,40.43878635317088,31.57605038881303,33.81831182241441,34.167377675324694,23.499778801202783,27.62299807816745,26.1028914615512,28.837541855871688,27.21420502066613,27.446424078941355
2019-07-12,23.73,20.37,19.95,20.16,20.37,20.37,20.37,19.95,19.32,19.95,19.95,19.32,19.53,19.74,19.95,19.11,19.950000000000006,20.58,20.16,20.58,20.16,20.16,20.16,24.78,24.78,24.36,24.78,24.990000000000002,24.78,24.990000000000002,24.36,23.52,23.94,23.73,24.15,23.73,24.57,23.73,23.73,23.73,23.94,23.31,23.31,23.73,24.990000000000002,28.14,24.990000000000002,24.78,24.78,24.78,25.2,24.57,24.57,24.990000000000002,23.73,24.36,23.31,23.73,24.15,23.94,23.73,24.36,23.94,23.73,24.15,23.94,24.15,23.94,24.57,27.93,24.78,24.78,13.55606264211238,19.957009302824744,18.641025187075144,25.773140224814423,29.361096051335345,47.53733514994384,48.806445273757,60.77559177875521,68.29212879091504,78.46433527171615,77.60862883329395,71.08143687397244,76.90303747951987,72.21723025739196,65.13080828189852,60.49335610717537,49.5267079934478,41.11692707240583,32.968718815594926,33.90756661891938,30.858986835926782,28.204478723555813,26.109326767176398,23.694988871365794,25.412723962962637,27.637393241375694,25.734906810522087,22.87966239899398,26.586187481135138,32.21484635844828,35.71334295496346,42.44979870021345,43.92692208588125,44.83541151434185,47.17574883252384,50.27488676011564,44.78036235719921,41.802301257848754,40.83402590453626,37.46766294389965,35.57873871847988,29.82598000690342,30.37288529276849,29.00046448186041,33.51072204709054,30.242574159801016,30.25471837967635,29.275351421535024,32.07590987160803,30.401801759004602,30.607342245429766,25.837602022290238,21.918905413895853,29.02547278851272,33.3768746495247,39.54831317067148,42.656533165276066,48.19221829622985,47.346198526024835,47.9777153581381,51.42616924345495,47.21870596557857,43.18323215693237,39.61326647847892,35.259550604224216,37.40476702004673,37.258914591372026,25.101589223742494,24.747880120575438,28.590068578720103,22.90679768398405,22.35033186972142
