,mae,mape,rmse,B
0,0.7531192069405906,29.293795241796317,1.1965578815516011,B1
1,0.19350147386532718,53.5992253687533,0.34732002124580186,B2
2,0.4411496905363334,48.016042932407586,0.661732458790822,B3
3,0.48745888783947156,30.507432258515582,0.6968613485015481,B4
4,0.5318234621465792,82.29008359852197,0.840998611919038,B5
5,0.1742716776721765,56.43137131262771,0.27895609357794776,B6
6,0.38901248772223485,42.98647405568942,0.6208565772018991,B7
7,0.3514679404436936,52.739977356614396,0.5846699199372755,B8
8,0.5267831138520136,46.47413923342379,0.7959234103610341,B9
9,0.3298563632700045,57.39668589400936,0.5539374872381072,B10
10,0.22719306173240955,64.32704066485212,0.34450489397722794,B11
11,0.22961383887122247,37.715117183262805,0.3431624882981231,B12
12,0.499623955026176,39.83176611107203,0.7843907294093765,B13
13,0.7209108828778924,30.586422946442028,1.0385115541516776,B14
14,0.8795496192914952,129.8586966018844,1.4438305749858695,B15
15,0.2872146147761539,66.59177041546728,0.4220341850077749,B16
16,0.4321987742621659,197.28476215438658,0.5755911552970725,B17
17,1.075019920115841,67.03008863826784,1.825574017349405,B18
18,0.38696328534235386,17.52879059702365,0.5634027352992524,B19
19,0.32773248147998474,28.485631676926772,0.5247128829675674,B20
20,0.11304509880576448,68.8081189883722,0.2414414645609583,B21
21,0.42495434806828536,127.90961249112445,0.721299874177171,B22
22,0.4218021652200785,120.40443564916102,0.5833217719376457,B23
23,0.26058683285654843,74.29130481438759,0.4884902228500485,B24
24,0.46527859126331544,50.93709262247238,0.6742503107665081,B25
25,0.10500077356197753,34.890466403067784,0.21166244212701318,B26
26,0.7155020532757305,185.90786459847325,1.0174434581296303,B27
27,0.8373343191825048,45.740634276223105,1.1421229056072704,B28
