,mae,mape,rmse,B
0,0.7160833792579633,27.121201444892773,1.1739165904470417,B1
1,0.18524961476531088,50.00686940677298,0.34360501524756126,B2
2,0.4110103111595336,41.171882974334736,0.6502032543950683,B3
3,0.47433930366919025,28.69920130991185,0.6939584050598465,B4
4,0.5160544637813168,74.49625167647207,0.8405242179429782,B5
5,0.16638936418656344,50.08684848864947,0.27084260762945944,B6
6,0.3811833964851355,41.07942062326814,0.6180420803228265,B7
7,0.32239657594360893,46.381065921792946,0.5659765207930326,B8
8,0.4647652893478858,39.74986594676267,0.7261682873293155,B9
9,0.3148736108876191,51.62309435822379,0.5460547520271211,B10
10,0.2153988949951267,57.75383130481227,0.33805935898434786,B11
11,0.2072986746276157,34.444300416364456,0.32310105633636726,B12
12,0.47725881942281806,35.58803765566215,0.7803911459412375,B13
13,0.6927416763571144,28.24363572625345,1.0258611673382514,B14
14,0.822670701158661,107.38194962217192,1.3661047800473516,B15
15,0.27496777185412935,63.439662297361856,0.4207749755963229,B16
16,0.41278596521955885,162.31708516681655,0.5757805235892726,B17
17,1.0476464994936256,64.01854005814451,1.855450816963693,B18
18,0.3766671204990554,16.924086512823155,0.553042547392889,B19
19,0.3193733717827074,27.25841913340602,0.5210236766007713,B20
20,0.10698019813213662,62.58041345818339,0.23217707399407883,B21
21,0.3981904761777595,111.40488314779917,0.7085182850395473,B22
22,0.40567387839423713,110.48790395729746,0.5683812766634418,B23
23,0.2509992712737149,68.95201889065241,0.4817460170064039,B24
24,0.4531348628163189,47.80509168528555,0.6718561516498496,B25
25,0.10307498066624307,32.78889861450699,0.2120574013601736,B26
26,0.6596477743414533,158.5209759148616,0.9669011409332045,B27
27,0.8182107007771838,42.54911373810368,1.1283111234208103,B28
