,mae,rmse,B
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,0.3562695585101753,0.5658546315298432,1.0
12,0.37902145800953907,0.5798297488445676,1.0
13,0.36864494636310663,0.5793794607515372,1.0
14,0.379774133964721,0.5847282247780006,1.0
15,0.3670686945277764,0.5848321287778374,1.0
16,0.3696386936507447,0.58496468317794,1.0
17,0.3754979501552406,0.5930211245677931,1.0
18,0.3760810034520512,0.5912113656570985,1.0
19,0.38742676363898065,0.6129108880667575,1.0
20,0.3954755367403346,0.6174852112537693,1.0
21,0.18823884873369814,0.3309081268853456,2.0
22,0.19457866483070677,0.34049898069464835,2.0
23,0.1991173781002464,0.34900664359369743,2.0
24,0.18976948748933734,0.3447907243382098,2.0
25,0.1928252822332145,0.34926807365820944,2.0
26,0.19633387596892937,0.35505729921843676,2.0
27,0.21083420738627964,0.36915735540481165,2.0
28,0.20327570510548468,0.36051085842546216,2.0
29,0.2083528427727601,0.36818027383861096,2.0
30,0.2194280162379053,0.380156773611503,2.0
31,0.4783596342977823,0.7253578514881748,3.0
32,0.5030345084686524,0.7536495266906312,3.0
33,0.5188487976319922,0.7707927428868259,3.0
34,0.5375824813665049,0.7985957047906186,3.0
35,0.5376025884367902,0.7993946216036893,3.0
36,0.5504951522068543,0.8096982980634319,3.0
37,0.555116810070175,0.8242963966243035,3.0
38,0.5528623415971008,0.8216092460059181,3.0
39,0.536000790468197,0.7982928555856031,3.0
40,0.5343760120869717,0.7956341439605972,3.0
41,0.6292658875929105,0.8825454967426252,4.0
42,0.6301774526716997,0.8847845761915485,4.0
43,0.640024581104882,0.9006809510166911,4.0
44,0.6517026641639073,0.9182147454666362,4.0
45,0.661795401819048,0.9310564541920208,4.0
46,0.6681848912472902,0.9443323439253377,4.0
47,0.6754911548126147,0.9537705112815081,4.0
48,0.6773484562243931,0.9550224073483422,4.0
49,0.6758044604488768,0.9507990013493409,4.0
50,0.6832077002100208,0.963715478152488,4.0
51,0.5267074415206238,0.8873012591832271,5.0
52,0.535228450382481,0.9040735004668772,5.0
53,0.5391544469839512,0.9121128717554517,5.0
54,0.5563131021192017,0.9159245949065925,5.0
55,0.5653872509205002,0.9221131939150938,5.0
56,0.5693818927832744,0.9250448995602771,5.0
57,0.5744958005156869,0.9270820767831583,5.0
58,0.58282793388326,0.9367199582068558,5.0
59,0.5866231031622411,0.9419731067533759,5.0
60,0.5912007360680104,0.9440976229319367,5.0
61,0.17796989081709,0.2702533628075692,6.0
62,0.18832676239108118,0.2880596025714698,6.0
63,0.19917620568102185,0.30125107967707065,6.0
64,0.19957190031295574,0.30109076105113597,6.0
65,0.20429764581328272,0.30826201250327523,6.0
66,0.21016623504171178,0.31768055511752363,6.0
67,0.2134068369338758,0.32079137531095603,6.0
68,0.21170853457612873,0.3185671597317723,6.0
69,0.21393487264146405,0.32267650314448293,6.0
70,0.21240000053368754,0.31910411410109185,6.0
71,0.43018105532863743,0.6737409662293842,7.0
72,0.4390474017159422,0.6808757988144118,7.0
73,0.43766656715638996,0.6807023852967313,7.0
74,0.44790539130830215,0.69293907160749,7.0
75,0.447757340117018,0.6956365333202562,7.0
76,0.45568488296573545,0.7068477707400531,7.0
77,0.4581992954933215,0.7087948809447483,7.0
78,0.4598464448344518,0.7092445612160244,7.0
79,0.45888361605751016,0.712128756618034,7.0
80,0.45810610625074477,0.7111076395213505,7.0
81,0.32709017019989844,0.5380407358061315,8.0
82,0.3425535881550165,0.5588913753512219,8.0
83,0.35425428997574343,0.5716708550581309,8.0
