,mae,rmse,B
1,0.35145622458811604,0.5698415329886662,1.0
2,0.3618654376170407,0.5698806624119981,1.0
3,0.3678150740428165,0.5760824100164097,1.0
4,0.3809650401636396,0.5875620121889511,1.0
5,0.3862476063582551,0.6017321249327852,1.0
6,0.4030372294065528,0.6196729019884168,1.0
7,0.4106308116343211,0.6345907887797593,1.0
8,0.4281755805146988,0.6518801211596157,1.0
9,0.4322367965800313,0.6553847873462479,1.0
10,0.4320849370766572,0.6534958879967171,1.0
11,0.21160949737143425,0.3659217423903701,2.0
12,0.2068528018711831,0.3656584737354177,2.0
13,0.21576936239396333,0.3800128644922634,2.0
14,0.2273656002443307,0.39934986195543104,2.0
15,0.21748212704314088,0.3912828200316819,2.0
16,0.2303215474910029,0.4034710352818872,2.0
17,0.2291634703528089,0.4041854156427156,2.0
18,0.2330081295791788,0.4146598134208913,2.0
19,0.22417897940937576,0.4014168286901159,2.0
20,0.2268562912142855,0.4056330716452308,2.0
21,0.38713460004364975,0.5892907073099712,3.0
22,0.3944089420693846,0.6040017733845026,3.0
23,0.40045926278614696,0.6103693425941392,3.0
24,0.4025380107329389,0.6155701178446598,3.0
25,0.4080935904852839,0.6193810711016596,3.0
26,0.4091870689228767,0.6272130656411933,3.0
27,0.4095153222618914,0.6272041353858333,3.0
28,0.4097630286096797,0.6292375647560817,3.0
29,0.4131161075153645,0.633355162279913,3.0
30,0.4144091835545799,0.6333165211519352,3.0
31,0.6294819519927389,0.8656148628396527,4.0
32,0.6356031750051391,0.8751933140629791,4.0
33,0.6433953821461313,0.88274299072652,4.0
34,0.6411068497237401,0.8788448047311787,4.0
35,0.6446980853155102,0.8821277991516837,4.0
36,0.6431020632986174,0.8807917711625899,4.0
37,0.645545643997103,0.8846902487683259,4.0
38,0.6463492236860309,0.8873187206319552,4.0
39,0.6509649998837816,0.8924625424769714,4.0
40,0.6462156914620566,0.8881104249000691,4.0
41,0.5145587264336119,0.8633624312077712,5.0
42,0.5273511056649031,0.8756693990608313,5.0
43,0.540905770864024,0.8900050796841338,5.0
44,0.5482786660619402,0.8931768414188819,5.0
45,0.5443970629904,0.892909171079307,5.0
46,0.5489974969380247,0.8990975028542219,5.0
47,0.5533408994198888,0.9012781486283512,5.0
48,0.5546349452793381,0.9024649452315456,5.0
49,0.5610091497559453,0.9102644656435844,5.0
50,0.5622223244798851,0.9070384064570672,5.0
51,0.18699198312058127,0.2875398620951032,6.0
52,0.19385966621765136,0.2977725729684246,6.0
53,0.19364703667710595,0.297042041856922,6.0
54,0.19569595710966955,0.29914538626013537,6.0
55,0.19661160572741987,0.3011442338589027,6.0
56,0.2004737701986181,0.3055496641158201,6.0
57,0.19383412600460906,0.29941947985156897,6.0
58,0.2025974688060453,0.3091695751115389,6.0
59,0.20111461013697304,0.30788895542022177,6.0
60,0.2026619687707135,0.3101153635188388,6.0
61,0.4459343685346229,0.7010535326179268,7.0
62,0.4551085213634884,0.7168304878800198,7.0
63,0.4677836016733842,0.7326487744856532,7.0
64,0.4765435186980625,0.7437581799413711,7.0
65,0.4723983561741796,0.7425174943120597,7.0
66,0.480658315235758,0.7510220762612216,7.0
67,0.4834599928047179,0.7550356716891783,7.0
68,0.4899733239507482,0.7597965238322186,7.0
69,0.485287932148605,0.7546759812162938,7.0
70,0.4849864478445506,0.7566257151383148,7.0
71,0.3440786380969615,0.5568929670745688,8.0
72,0.3546694043892383,0.5730178935964817,8.0
73,0.3556645867915533,0.5810123608552118,8.0
74,0.3672799746979228,0.5941135393929304,8.0
75,0.3640144565975094,0.5917586270670074,8.0
76,0.36558557511212303,0.5919615406999638,8.0
77,0.3630218641155071,0.5914379763290533,8.0
78,0.3636366900230735,0.5933693350906073,8.0
79,0.3649917359038831,0.5931017060201728,8.0
80,0.3699155798170167,0.5995648653669287,8.0
81,0.6688952416975293,1.0945410785423744,9.0
82,0.6816415569840424,1.1061009878105723,9.0
83,0.6783779039664979,1.0976472205234922,9.0
84,0.697513356515966,1.119070418016746,9.0
85,0.6785001794318608,1.1023955425396024,9.0
86,0.7065969717210708,1.1351322516501063,9.0
87,0.7149358863705104,1.1372532877696069,9.0
88,0.7217969134069321,1.1402527026368188,9.0
89,0.7378374210084504,1.1572622392130745,9.0
90,0.7408642335307266,1.1607215141127636,9.0
91,0.29589240585218823,0.450117088736298,10.0
92,0.3076927492085815,0.47379414668793,10.0
93,0.3164271316650704,0.4899113720440263,10.0
94,0.323231567457676,0.4953679289810856,10.0
95,0.32142555067811185,0.4958997494264878,10.0
96,0.3289107778887906,0.504483799666563,10.0
97,0.3305016402035214,0.5049774123654917,10.0
98,0.3313291089030051,0.5071868618759223,10.0
99,0.32494220803224044,0.4967297197760516,10.0
100,0.3345880941911033,0.5117208420139359,10.0
101,0.2549636897168198,0.3762317898690029,11.0
102,0.2625712552412463,0.3919845265638233,11.0
103,0.2683372837269781,0.39767903619011497,11.0
104,0.26901584188609456,0.3996105900065674,11.0
105,0.2743157692303748,0.40534329231315597,11.0
106,0.2728415143334039,0.4074722216476732,11.0
107,0.277329379998227,0.4116722720955687,11.0
108,0.281518125510117,0.4166879691599168,11.0
109,0.28141450440678045,0.4169230930332709,11.0
110,0.28324990755753976,0.4221725192743739,11.0
111,0.1947797993133964,0.2955865683532421,12.0
112,0.1990134854713087,0.3070484528515012,12.0
113,0.19625174257560546,0.3060420893591879,12.0
114,0.19857852982747748,0.30852963742319583,12.0
115,0.202549887258885,0.3158844876571582,12.0
116,0.20250785657624906,0.3146295258918535,12.0
117,0.2043048707218359,0.3173573560400126,12.0
118,0.20429525751540825,0.31778226140163257,12.0
119,0.20301273258504887,0.31598283871489513,12.0
120,0.2042432734013101,0.3180462459506327,12.0
121,0.5387598315149573,0.798472363125612,13.0
122,0.5620427807998049,0.8255995598080376,13.0
123,0.5681770231339013,0.8344335601068821,13.0
124,0.5865941208147042,0.8542895960860339,13.0
125,0.5980828329122234,0.8620364536190105,13.0
126,0.6038347673944718,0.8674541283785553,13.0
127,0.6023990771040368,0.8661307016461607,13.0
128,0.6049394146664675,0.8664617707021011,13.0
129,0.6075899163462669,0.8690126909017619,13.0
130,0.6156691446369131,0.8763217442746237,13.0
131,0.6431937474501925,0.9280732063654792,14.0
132,0.6510260753974305,0.9439575242713788,14.0
133,0.6614957308643552,0.9546394287355238,14.0
134,0.6680358786693277,0.9699145553595722,14.0
135,0.6776061090143314,0.9782217986973176,14.0
136,0.6779642161215068,0.9772689526818072,14.0
137,0.6828165798417707,0.9860198772094486,14.0
138,0.6826688391300005,0.9863561249977628,14.0
139,0.6895346921988513,0.9943970540822958,14.0
140,0.6874015590657655,0.9908085082492556,14.0
141,1.008747192628884,1.4415396373905842,15.0
142,1.0354753463152035,1.4704986848848365,15.0
143,1.0913805839133457,1.5342087852037745,15.0
144,1.1364285901484543,1.5960563895758864,15.0
