,mae,rmse,B
1,0.3685522903707837,0.5745524374390569,0.0
2,0.3737759804000112,0.5800179419830188,0.0
3,0.3834156860377346,0.5898079903493134,0.0
4,0.3718927160080092,0.5846790607270886,0.0
5,0.39272319718017334,0.6055337669605084,0.0
6,0.39423550830401366,0.60397341652022,0.0
7,0.3955789045700372,0.6101040457491226,0.0
8,0.3984312106647536,0.6143678997119093,0.0
9,0.4020115663344969,0.6204026973753036,0.0
10,0.4043582532013402,0.6252977789157144,0.0
11,0.19199889492487757,0.33976745518595775,1.0
12,0.1956015272015566,0.3415248128036426,1.0
13,0.19462317871060655,0.34137086932202343,1.0
14,0.2047779574342436,0.35147567136765484,1.0
15,0.2015066547178019,0.3486313064687317,1.0
16,0.1975079166973806,0.3513078587394856,1.0
17,0.20557833214757312,0.3589120718696971,1.0
18,0.20641017116114363,0.3608632291727545,1.0
19,0.20443970697649333,0.36107323148743675,1.0
20,0.21130286553414118,0.3719227635375041,1.0
21,0.4457749228627023,0.672501350747302,2.0
22,0.47011261243784536,0.6957632762494042,2.0
23,0.4651981564630873,0.6980374423117333,2.0
24,0.46667163962874264,0.7063643659935482,2.0
25,0.47559811919509787,0.7181949451119574,2.0
26,0.4782043349554984,0.7192139912663625,2.0
27,0.48387035035522336,0.730495260177715,2.0
28,0.47452189191895006,0.7215934518460971,2.0
29,0.4875409090909603,0.7346590699703267,2.0
30,0.4855213252474098,0.7300395639083627,2.0
31,0.6261457503248387,0.8665084725172774,3.0
32,0.6318796521231795,0.8745627304809265,3.0
33,0.637468173998158,0.8797476799048803,3.0
34,0.6542369696809622,0.9022707856369734,3.0
35,0.6698486460065775,0.9251045702919459,3.0
36,0.6645576897117716,0.9175001674892069,3.0
37,0.6615227111955398,0.916504453267973,3.0
38,0.6614039805311489,0.9164687604443875,3.0
39,0.6646479991977005,0.9228424814754373,3.0
40,0.6595453839808936,0.9139164446002715,3.0
41,0.5258337368904985,0.88407575495636,4.0
42,0.5342822235677753,0.8967627588939028,4.0
43,0.5314652667613301,0.8886583894597928,4.0
44,0.5411477646340567,0.8961985159957161,4.0
45,0.5396891959644855,0.8991945965685355,4.0
46,0.5360025495455281,0.8980755568178816,4.0
47,0.5586533466803245,0.9164831859073794,4.0
48,0.5511231774111639,0.9076630632342503,4.0
49,0.5531409583102213,0.9115071485464621,4.0
50,0.5580800089734781,0.9155348850517432,4.0
51,0.16355739905855757,0.2534120775489224,5.0
52,0.16720089426110743,0.2570187324701929,5.0
53,0.17070488017961905,0.26149699303613555,5.0
54,0.17238756150521597,0.2659711125004891,5.0
55,0.17596718160528618,0.26905258673172516,5.0
56,0.17478183206120806,0.2687899857773614,5.0
57,0.1829203775479156,0.277739139050683,5.0
58,0.18178897886555967,0.27736643100412867,5.0
59,0.18249169826524186,0.27947968303228365,5.0
60,0.18323096265041436,0.2815441564982429,5.0
61,0.42682962746134684,0.6808330095062551,6.0
62,0.4274145728016081,0.68617581670975,6.0
63,0.4347276475469542,0.6973209856763414,6.0
64,0.4365281601810206,0.693093392281529,6.0
65,0.45135630611644906,0.7137236025735726,6.0
66,0.44853391061525905,0.7116284069739979,6.0
67,0.4501818853047686,0.7185409059191049,6.0
68,0.454084085082775,0.7182782312942866,6.0
69,0.44251157007693037,0.7063677333970243,6.0
70,0.44525869376462557,0.7086297826282814,6.0
71,0.3295000799328234,0.5399475786132223,7.0
72,0.3423995172797713,0.5607960405118769,7.0
73,0.34956241155002404,0.5691958386751186,7.0
74,0.35804053157157906,0.5763498132285084,7.0
75,0.35168833426587126,0.5742961825086413,7.0
76,0.3517259171216427,0.5751295021693583,7.0
77,0.35832013283328934,0.5840874943627894,7.0
78,0.35863079125120295,0.5859639076554817,7.0
