,timestamp,h,prediction,actual
1970-01-01 00:00:00.000000000,2017-02-23 19:00:00,t+1,0.4764676424860954,0.11019455252918288
1970-01-01 00:00:00.000000001,2017-02-23 20:00:00,t+1,0.439895938038826,0.11019455252918288
1970-01-01 00:00:00.000000002,2017-02-23 21:00:00,t+1,0.4176510053873062,0.11019455252918288
1970-01-01 00:00:00.000000003,2017-02-23 22:00:00,t+1,0.3697567534446716,0.38568093385214014
1970-01-01 00:00:00.000000004,2017-02-23 23:00:00,t+1,0.42316972196102143,0.2754863813229572
1970-01-01 00:00:00.000000005,2017-02-24 00:00:00,t+1,0.3676965978741646,0.12396887159533074
1970-01-01 00:00:00.000000006,2017-02-24 01:00:00,t+1,0.2837314774096012,0.11019455252918288
1970-01-01 00:00:00.000000007,2017-02-24 02:00:00,t+1,0.22656523302197457,0.12396887159533074
1970-01-01 00:00:00.000000008,2017-02-24 03:00:00,t+1,0.21846184015274048,0.11019455252918288
1970-01-01 00:00:00.000000009,2017-02-24 04:00:00,t+1,0.32259944692254067,0.11019455252918288
1970-01-01 00:00:00.000000010,2017-02-24 05:00:00,t+1,0.47091980785131454,0.11019455252918288
1970-01-01 00:00:00.000000011,2017-02-24 06:00:00,t+1,0.45659435480833055,0.12396887159533074
1970-01-01 00:00:00.000000012,2017-02-24 07:00:00,t+1,0.41686555624008176,0.5371984435797665
1970-01-01 00:00:00.000000013,2017-02-24 08:00:00,t+1,0.5011163449287415,0.0
1970-01-01 00:00:00.000000014,2017-02-24 09:00:00,t+1,0.2292884574830532,0.22038910505836576
1970-01-01 00:00:00.000000015,2017-02-24 10:00:00,t+1,0.28648545518517493,2.0110505836575876
1970-01-01 00:00:00.000000016,2017-02-24 11:00:00,t+1,0.9915796995162963,2.162568093385214
1970-01-01 00:00:00.000000017,2017-02-24 12:00:00,t+1,1.1330908387899399,2.1212451361867704
1970-01-01 00:00:00.000000018,2017-02-24 13:00:00,t+1,1.1884629464149474,2.258988326848249
1970-01-01 00:00:00.000000019,2017-02-24 14:00:00,t+1,1.3139423775672912,2.162568093385214
1970-01-01 00:00:00.000000020,2017-02-24 15:00:00,t+1,1.3127082359790803,1.9008560311284046
1970-01-01 00:00:00.000000021,2017-02-24 16:00:00,t+1,1.2932795262336731,2.258988326848249
1970-01-01 00:00:00.000000022,2017-02-24 17:00:00,t+1,1.3823199194669724,2.3554085603112838
1970-01-01 00:00:00.000000023,2017-02-24 18:00:00,t+1,1.377556689977646,2.644669260700389
1970-01-01 00:00:00.000000024,2017-02-24 19:00:00,t+1,1.356601497530937,0.8126848249027236
1970-01-01 00:00:00.000000025,2017-02-24 20:00:00,t+1,0.8122196173667907,0.3994552529182879
1970-01-01 00:00:00.000000026,2017-02-24 21:00:00,t+1,0.6047463637590408,0.37190661478599224
1970-01-01 00:00:00.000000027,2017-02-24 22:00:00,t+1,0.4825349602103233,0.8953307392996108
1970-01-01 00:00:00.000000028,2017-02-24 23:00:00,t+1,0.6016163831949234,1.4187548638132297
1970-01-01 00:00:00.000000029,2017-02-25 00:00:00,t+1,0.7147788217663765,0.28926070038910506
1970-01-01 00:00:00.000000030,2017-02-25 01:00:00,t+1,0.3212335355579853,0.12396887159533074
1970-01-01 00:00:00.000000031,2017-02-25 02:00:00,t+1,0.21210276156663893,0.12396887159533074
1970-01-01 00:00:00.000000032,2017-02-25 03:00:00,t+1,0.23463963970541954,0.8953307392996108
1970-01-01 00:00:00.000000033,2017-02-25 04:00:00,t+1,0.6549901583790779,0.31680933852140075
1970-01-01 00:00:00.000000034,2017-02-25 05:00:00,t+1,0.39907457917928696,0.6611673151750973
1970-01-01 00:00:00.000000035,2017-02-25 06:00:00,t+1,0.6190784105658531,0.49587548638132295
1970-01-01 00:00:00.000000036,2017-02-25 07:00:00,t+1,0.6884459665417672,0.688715953307393
1970-01-01 00:00:00.000000037,2017-02-25 08:00:00,t+1,0.8046239706873893,1.6942412451361868
1970-01-01 00:00:00.000000038,2017-02-25 09:00:00,t+1,1.3287422651052474,0.3994552529182879
1970-01-01 00:00:00.000000039,2017-02-25 10:00:00,t+1,0.8691426309943199,0.1377431906614786
1970-01-01 00:00:00.000000040,2017-02-25 11:00:00,t+1,0.6020322650671005,0.6611673151750973
1970-01-01 00:00:00.000000041,2017-02-25 12:00:00,t+1,0.8671399202942848,1.198365758754864
1970-01-01 00:00:00.000000042,2017-02-25 13:00:00,t+1,1.1614280927181244,0.2754863813229572
1970-01-01 00:00:00.000000043,2017-02-25 14:00:00,t+1,0.5338532745838165,0.3994552529182879
1970-01-01 00:00:00.000000044,2017-02-25 15:00:00,t+1,0.5617011657357216,0.33058365758754865
1970-01-01 00:00:00.000000045,2017-02-25 16:00:00,t+1,0.5824573320150376,0.11019455252918288
1970-01-01 00:00:00.000000046,2017-02-25 17:00:00,t+1,0.5671386998891831,0.12396887159533074
1970-01-01 00:00:00.000000047,2017-02-25 18:00:00,t+1,0.6468891656398773,1.0055252918287938
1970-01-01 00:00:00.000000048,2017-02-25 19:00:00,t+1,1.075711800456047,1.7355642023346305
1970-01-01 00:00:00.000000049,2017-02-25 20:00:00,t+1,1.317795034646988,1.3498832684824902
1970-01-01 00:00:00.000000050,2017-02-25 21:00:00,t+1,1.178964655995369,1.473852140077821
1970-01-01 00:00:00.000000051,2017-02-25 22:00:00,t+1,1.1915230858325958,0.4270038910505837
1970-01-01 00:00:00.000000052,2017-02-25 23:00:00,t+1,0.5883316898345947,0.35813229571984434
1970-01-01 00:00:00.000000053,2017-02-26 00:00:00,t+1,0.34236224949359895,0.09642023346303503
1970-01-01 00:00:00.000000054,2017-02-26 01:00:00,t+1,0.19641822829842567,0.7162645914396887
1970-01-01 00:00:00.000000055,2017-02-26 02:00:00,t+1,0.572982040643692,0.4270038910505837
1970-01-01 00:00:00.000000056,2017-02-26 03:00:00,t+1,0.4463548725843429,0.7575875486381324
1970-01-01 00:00:00.000000057,2017-02-26 04:00:00,t+1,0.6471549206972123,0.7713618677042803
1970-01-01 00:00:00.000000058,2017-02-26 05:00:00,t+1,0.7325617808103562,1.1845914396887158
1970-01-01 00:00:00.000000059,2017-02-26 06:00:00,t+1,0.9656116640567779,0.33058365758754865
1970-01-01 00:00:00.000000060,2017-02-26 07:00:00,t+1,0.680397829413414,0.5922957198443579
1970-01-01 00:00:00.000000061,2017-02-26 08:00:00,t+1,0.7740371882915497,1.9284046692607002
1970-01-01 00:00:00.000000062,2017-02-26 09:00:00,t+1,1.4117662972211837,0.785136186770428
1970-01-01 00:00:00.000000063,2017-02-26 10:00:00,t+1,0.8854041713476181,1.3912062256809339
1970-01-01 00:00:00.000000064,2017-02-26 11:00:00,t+1,1.2469464665651322,0.5509727626459144
1970-01-01 00:00:00.000000065,2017-02-26 12:00:00,t+1,0.7021474912762642,1.074396887159533
1970-01-01 00:00:00.000000066,2017-02-26 13:00:00,t+1,0.9332632917165756,0.46832684824902726
1970-01-01 00:00:00.000000067,2017-02-26 14:00:00,t+1,0.5472576051950454,0.37190661478599224
1970-01-01 00:00:00.000000068,2017-02-26 15:00:00,t+1,0.6735509178042411,0.22038910505836576
1970-01-01 00:00:00.000000069,2017-02-26 16:00:00,t+1,0.6885205551981926,0.5647470817120622
1970-01-01 00:00:00.000000070,2017-02-26 17:00:00,t+1,1.0651412057876586,0.4545525291828794
1970-01-01 00:00:00.000000071,2017-02-26 18:00:00,t+1,1.044686611890793,0.08264591439688716
1970-01-01 00:00:00.000000072,2017-02-26 19:00:00,t+1,0.7402497401833534,0.08264591439688716
1970-01-01 00:00:00.000000073,2017-02-26 20:00:00,t+1,0.5451542472839356,0.5234241245136186
1970-01-01 00:00:00.000000074,2017-02-26 21:00:00,t+1,0.6133820316195487,1.0606225680933852
1970-01-01 00:00:00.000000075,2017-02-26 22:00:00,t+1,0.685700639784336,0.5371984435797665
1970-01-01 00:00:00.000000076,2017-02-26 23:00:00,t+1,0.40559707760810854,0.09642023346303503
1970-01-01 00:00:00.000000077,2017-02-27 00:00:00,t+1,0.27932217478752136,0.08264591439688716
1970-01-01 00:00:00.000000078,2017-02-27 01:00:00,t+1,0.2523007723689079,0.0688715953307393
1970-01-01 00:00:00.000000079,2017-02-27 02:00:00,t+1,0.1608877846598625,0.0688715953307393
1970-01-01 00:00:00.000000080,2017-02-27 03:00:00,t+1,0.21098685935139655,0.0688715953307393
1970-01-01 00:00:00.000000081,2017-02-27 04:00:00,t+1,0.30495756804943086,0.0688715953307393
1970-01-01 00:00:00.000000082,2017-02-27 05:00:00,t+1,0.4304465997219086,0.0688715953307393
1970-01-01 00:00:00.000000083,2017-02-27 06:00:00,t+1,0.437979579269886,1.0055252918287938
1970-01-01 00:00:00.000000084,2017-02-27 07:00:00,t+1,0.8060007485747337,2.1074708171206225
1970-01-01 00:00:00.000000085,2017-02-27 08:00:00,t+1,1.158345376253128,0.5234241245136186
1970-01-01 00:00:00.000000086,2017-02-27 09:00:00,t+1,0.5567077347636222,1.2947859922178988
1970-01-01 00:00:00.000000087,2017-02-27 10:00:00,t+1,0.9181385689973831,1.0468482490272373
1970-01-01 00:00:00.000000088,2017-02-27 11:00:00,t+1,0.8391940721869469,1.4187548638132297
1970-01-01 00:00:00.000000089,2017-02-27 12:00:00,t+1,1.064045058488846,1.1570428015564203
1970-01-01 00:00:00.000000090,2017-02-27 13:00:00,t+1,0.9513701891899109,1.666692607003891
1970-01-01 00:00:00.000000091,2017-02-27 14:00:00,t+1,1.2749643713235854,0.2066147859922179
