,mape,rmse
1,29.228367429911028,0.5714140355603058
2,73.05813145801669,0.33189730974627335
3,62.365999544843106,0.5956866068423015
4,53.662661204596695,0.8974300187203372
5,56.72506201001871,0.857758594418507
6,205.24989239723897,0.269340491373866
7,135.53130708497105,0.6887466836327952
8,71.95766095910948,0.5650391725127466
9,112.98590286139154,0.9856058748875357
10,65.11937330460714,0.456575869289723
11,79.4746841774629,0.3712539607144642
12,40.48161288297617,0.2979526409601063
13,38.828178275028186,0.7708728390123673
14,38.84417644198772,0.8883490068963016
15,139.75667064630977,1.4238041044115515
16,121.2049850663842,0.5198595206551686
17,205.68718811173295,0.5501365044679025
18,56.83956748353104,1.8693543515079643
19,26.018156866595454,0.6543192423917484
20,103.30065126124353,0.7122882389894027
21,66.58809374805553,0.21969007154220027
22,208.8119060926553,0.7906922610583201
23,116.91180263366046,0.5156912501044184
24,269.46589307787906,0.5210750126349715
25,51.08824495977415,0.705712377357582
26,39.03619049567213,0.1940244047840332
27,360.2692931005238,1.0548558927845069
