epoch,loss,val_loss
0,0.7319464087486267,0.35207927227020264
1,0.27638155221939087,0.36438828706741333
2,0.2745373249053955,0.34680041670799255
3,0.273755818605423,0.34737852215766907
4,0.27325308322906494,0.33624544739723206
5,0.27328819036483765,0.31956544518470764
6,0.2714094817638397,0.31032395362854004
7,0.27121058106422424,0.31544429063796997
8,0.26889121532440186,0.3089956045150757
9,0.26581695675849915,0.31256648898124695
10,0.25968122482299805,0.31057387590408325
11,0.25592267513275146,0.3102753460407257
