,mae,mape,rmse,B
0,,,,
1,12.193546225883905,31.74501909474984,18.600421947658173,GEP1
2,12.194757131285252,31.799694668882378,18.810261927082642,GEP1
3,12.475646363428062,32.490627835586686,19.25367311203332,GEP1
4,11.783510469527073,29.397425221872435,18.325408046399456,GEP1
5,12.228586687296191,31.031100630647597,19.06385401751789,GEP1
6,11.989805821050782,31.171876231333773,18.869479029283724,GEP1
7,12.182276088429658,31.10908124038174,19.335479909983796,GEP1
8,11.868119109136181,30.06541678495889,18.881893997516023,GEP1
9,12.085186780414013,31.390994986583397,19.23870346549372,GEP1
10,11.885657497445884,30.183775122605695,19.043780671695092,GEP1
11,4.4694332752081625,24.776702248260154,6.270108655586896,GEP2
12,4.2964407181429,23.150461781150632,6.147464212246713,GEP2
13,4.369182947193236,23.943616916940023,6.256982740132678,GEP2
14,4.3528098933756345,23.644068987878374,6.232831915145297,GEP2
15,4.3517375925763675,23.779183176524576,6.234870429798502,GEP2
16,4.327019437047856,23.6616865572957,6.226834982363611,GEP2
17,4.333862836140231,23.180976271335194,6.2649609425284405,GEP2
18,4.4143082726201035,24.259610911295038,6.318838132866402,GEP2
19,4.327667653714754,23.581447340065402,6.223457465241001,GEP2
20,4.426317359830305,24.166241310649063,6.3497446078223305,GEP2
21,5.955657106648519,20.971704929298664,8.954554866175679,GEP4
22,5.983043948026131,21.252719003984165,9.253235281865798,GEP4
23,6.030036072806161,20.871498482233747,9.261302543753443,GEP4
24,6.030290501732683,20.899558620349044,9.247835931222497,GEP4
25,5.955843332077598,20.750476384665344,9.193999251658374,GEP4
26,6.136054535288839,21.069264941205752,9.46449093868535,GEP4
27,6.203310310035733,21.035185983297822,9.555541362555013,GEP4
28,6.232683063824598,21.286852618514825,9.604706533160849,GEP4
29,6.269655337970238,21.246660534154717,9.555926257425858,GEP4
30,6.344615357401655,21.610437264140703,9.654786773896472,GEP4
