,mae,mape,rmse,B
0,18.21859011173075,223.0956527272923,24.864439189539535,GEP1
1,6.869842461433185,26.162106863023215,10.175794530577303,GEP4
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
